N,Adding,Find_1,Find_2,Clear
10000,0.050937,0.041784,0.041106,0.001073
11000,0.055717,0.046171,0.046993,0.001174
12000,0.065233,0.051344,0.052704,0.001451
13000,0.072083,0.059662,0.060478,0.001939
14000,0.082077,0.063834,0.064435,0.002325
20000,0.108415,0.103115,0.097353,0.00277
30000,0.170132,0.166196,0.207866,0.005552
40000,0.272389,0.243634,0.227141,0.007055
50000,0.314082,0.304069,0.300612,0.010429
60000,0.426686,0.417682,0.38688,0.013228
70000,0.476143,0.448067,0.480119,0.015484
80000,0.56182,0.558142,0.547849,0.017703
90000,0.657112,0.605301,0.611575,0.017984
100000,0.715614,0.702246,0.654688,0.019653
