date,close,volume
17/05/10,59,343944
18/05/10,59.9,730739
19/05/10,58.3,664937
20/05/10,57.11,656166
21/05/10,56.45,785945
22/05/10,56.45,0
23/05/10,56.45,0
24/05/10,56.08,753850
25/05/10,53.06,382986
26/05/10,56.7,459181
27/05/10,56.77,513865
28/05/10,56.17,306608
29/05/10,56.17,0
30/05/10,56.17,0
31/05/10,57.1,125744
01/06/10,57.4,391668
02/06/10,60.45,834983
03/06/10,61.51,966326
04/06/10,60.2,436386
05/06/10,60.2,0
06/06/10,60.2,0
07/06/10,58.72,357014
08/06/10,58.5,735997
09/06/10,58.77,182619
10/06/10,59,320390
11/06/10,59.16,279683
12/06/10,59.16,0
13/06/10,59.16,0
14/06/10,59.16,0
15/06/10,61.39,764713
16/06/10,60.93,302344
17/06/10,61.8,554048
18/06/10,62.4,231018
19/06/10,62.4,0
20/06/10,62.4,0
21/06/10,63.49,752768
22/06/10,62.3,252085
23/06/10,60.51,1226599
24/06/10,60.78,206572
25/06/10,59.69,419354
26/06/10,59.69,0
27/06/10,59.69,0
28/06/10,59.5,157140
29/06/10,56.03,828376
30/06/10,57.34,443744
01/07/10,54.77,424660
02/07/10,55.69,167403
03/07/10,55.69,0
04/07/10,55.69,0
05/07/10,57.05,115275
06/07/10,58.8,143452
07/07/10,59.02,292155
08/07/10,59.77,369377
09/07/10,61.22,942013
10/07/10,61.22,0
11/07/10,61.22,0
12/07/10,61.52,935413
13/07/10,62.15,583374
14/07/10,62.43,408952
15/07/10,62.23,323393
16/07/10,62.39,265827
17/07/10,62.39,0
18/07/10,62.39,0
19/07/10,62.27,196595
20/07/10,61.79,488264
21/07/10,61.85,345288
22/07/10,61.4,619698
23/07/10,61.75,915262
24/07/10,61.75,0
25/07/10,61.75,0
26/07/10,61.48,118230
27/07/10,60.75,1041680
28/07/10,59.9,826290
29/07/10,60.44,941153
30/07/10,60.68,701242
31/07/10,60.68,0
01/08/10,60.68,0
02/08/10,61.45,1188263
03/08/10,63.5,2096677
04/08/10,63.15,784876
05/08/10,63,435075
06/08/10,62.47,677429
07/08/10,62.47,0
08/08/10,62.47,0
09/08/10,62.65,356798
10/08/10,62,440162
11/08/10,60,310692
12/08/10,59.5,709113
13/08/10,60.5,398542
14/08/10,60.5,0
15/08/10,60.5,0
16/08/10,60.27,460821
17/08/10,61.35,448105
18/08/10,61,177552
19/08/10,60.98,306467
20/08/10,60.47,600969
21/08/10,60.47,0
22/08/10,60.47,0
23/08/10,60.4,157158
24/08/10,59.47,448569
25/08/10,58.21,270424
26/08/10,59.17,384888
27/08/10,61.38,901877
28/08/10,61.38,0
29/08/10,61.38,0
30/08/10,61,731440
31/08/10,61.1,365561
01/09/10,63.2,695316
02/09/10,62.75,447477
03/09/10,63,373725
04/09/10,63,0
05/09/10,63,0
06/09/10,63,297290
07/09/10,62.7,252853
08/09/10,63.35,255258
09/09/10,63.5,1253229
10/09/10,63.62,292639
11/09/10,63.62,0
12/09/10,63.62,0
13/09/10,63.75,837337
14/09/10,65.82,2921408
15/09/10,66.43,1796393
16/09/10,66.8,703684
17/09/10,67.99,2495233
18/09/10,67.99,0
19/09/10,67.99,0
20/09/10,66.15,287767
21/09/10,65.6,502842
22/09/10,65.1,2054056
23/09/10,64.65,498031
24/09/10,65.92,674241
25/09/10,65.92,0
26/09/10,65.92,0
27/09/10,65.3,422324
28/09/10,65,395163
29/09/10,65.23,183038
30/09/10,66.63,686151
01/10/10,66.97,1230338
02/10/10,66.97,0
03/10/10,66.97,0
04/10/10,67.1,1183547
05/10/10,65.48,1635309
06/10/10,65.5,613364
07/10/10,65.5,689002
08/10/10,66,401577
09/10/10,66,0
10/10/10,66,0
11/10/10,66.57,788169
12/10/10,66.45,566610
13/10/10,69.5,1881743
14/10/10,68.72,740747
15/10/10,69.98,1816181
16/10/10,69.98,0
17/10/10,69.98,0
18/10/10,70.86,530520
19/10/10,74.6,3079312
20/10/10,74.81,2180432
21/10/10,74.76,945769
22/10/10,74.3,742863
23/10/10,74.3,0
24/10/10,74.3,0
25/10/10,73.99,441125
26/10/10,73.4,809836
27/10/10,73.45,1578093
28/10/10,73.24,619705
29/10/10,76.8,1207973
30/10/10,76.8,0
31/10/10,76.8,0
01/11/10,76.8,796239
02/11/10,76.25,537668
03/11/10,76.76,551596
04/11/10,76.76,0
05/11/10,76.76,0
06/11/10,76.76,0
07/11/10,76.76,0
08/11/10,77.23,504395
09/11/10,77,1024746
10/11/10,75.66,625347
11/11/10,75.8,438472
12/11/10,74.68,554829
13/11/10,75.2,367771
14/11/10,75.2,0
15/11/10,75.46,1145646
16/11/10,75.17,267590
17/11/10,75.19,4067402
18/11/10,78.8,1776909
19/11/10,79.1,634938
20/11/10,79.1,0
21/11/10,79.1,0
22/11/10,79.3,1323549
23/11/10,78.4,1169286
24/11/10,79.6,717857
25/11/10,81.3,754764
26/11/10,81.5,972048
27/11/10,81.5,0
28/11/10,81.5,0
29/11/10,80.3,737235
30/11/10,80,692577
01/12/10,79.2,696088
02/12/10,80.68,818092
03/12/10,82.39,988572
04/12/10,82.39,0
05/12/10,82.39,0
06/12/10,83.9,551347
07/12/10,84,1408024
08/12/10,83.7,476016
09/12/10,83.99,382934
10/12/10,80.7,3500693
11/12/10,80.7,0
12/12/10,80.7,0
13/12/10,82.1,846446
14/12/10,82.08,569334
15/12/10,81.35,419013
16/12/10,80.71,804907
17/12/10,80.75,734418
18/12/10,80.75,0
19/12/10,80.75,0
20/12/10,80.57,404333
21/12/10,80.38,534475
22/12/10,80.29,734068
23/12/10,80.8,1252163
24/12/10,80.15,644374
25/12/10,80.15,0
26/12/10,80.15,0
27/12/10,79.47,371388
28/12/10,78.3,378522
29/12/10,77.4,394555
30/12/10,79.99,1785895
31/12/10,79.99,0
01/01/11,79.99,0
02/01/11,79.99,0
03/01/11,79.99,0
04/01/11,79.99,0
05/01/11,79.99,0
06/01/11,79.99,0
07/01/11,79.99,0
08/01/11,79.99,0
09/01/11,79.99,0
10/01/11,79.99,0
11/01/11,81.51,1309217
12/01/11,81.55,582338
13/01/11,81.45,663054
14/01/11,81.79,658127
15/01/11,81.79,0
16/01/11,81.79,0
17/01/11,81,652340
18/01/11,80.19,786870
19/01/11,79.98,859497
20/01/11,78.82,1514343
21/01/11,79.5,685492
22/01/11,79.5,0
23/01/11,79.5,0
24/01/11,78.03,2661869
25/01/11,79,509937
26/01/11,78.52,367312
27/01/11,77.8,732584
28/01/11,76.6,341813
29/01/11,76.6,0
30/01/11,76.6,0
31/01/11,77.7,1929277
01/02/11,77.8,1148911
02/02/11,77.2,710463
03/02/11,77.5,441516
04/02/11,78,558007
05/02/11,78,0
06/02/11,78,0
07/02/11,78.45,407517
08/02/11,77.5,351456
09/02/11,76.59,246370
10/02/11,74.72,661424
11/02/11,73.8,972965
12/02/11,73.8,0
13/02/11,73.8,0
14/02/11,72.95,726123
15/02/11,72.92,579614
16/02/11,72.4,438414
17/02/11,73.33,1181415
18/02/11,72.7,507992
19/02/11,72.7,0
20/02/11,72.7,0
21/02/11,72.29,353739
22/02/11,70.3,1207802
23/02/11,70.3,0
24/02/11,70,2475673
25/02/11,71.25,2771109
26/02/11,71.25,0
