Datetime,volume,price
2013-05-08,60044960,105.76
2013-05-10,32329670,103.57
2013-05-13,84124260,103.22
2013-05-14,59642740,103.95
2013-05-15,63053590,103.12
2013-05-16,55045550,102.37
2013-05-17,74455950,105.19
2013-05-20,76237300,106.65
2013-05-21,77406660,108.86
2013-05-22,106411260,110.74
2013-05-23,94219990,105.55
2013-05-24,108569620,103.08
2013-05-27,47531440,102.87
2013-05-28,66309630,104.1
2013-05-29,84541590,99.96
2013-05-30,79554460,100.07
2013-05-31,86352420,99.05
2013-06-03,102246100,98.7
2013-06-04,79724570,98.79
2013-06-05,80543680,97.5
2013-06-06,65827520,96.8
2013-06-07,79913150,99.2
2013-06-10,68514380,97.8
2013-06-11,96754930,94.66
2013-06-13,119335820,91.77
2013-06-14,88549740,93.7
2013-06-17,79176990,95.64
2013-06-18,63808010,96.37
2013-06-19,63191980,94.57
2013-06-20,103325670,91.3
2013-06-21,79972720,91.5
2013-06-24,91754450,88.88
2013-06-25,88493130,89.57
2013-06-26,94537680,92.51
2013-06-27,76612830,93.24
2013-06-28,81701190,93.68
2013-07-01,66466070,95.42
2013-07-02,55404680,94.8
2013-07-03,55720100,93.04
2013-07-04,58629700,93.95
2013-07-05,69156910,93.2
2013-07-08,53667990,92.84
2013-07-09,48534400,92.39
2013-07-10,51969480,91.14
2013-07-11,112549270,95.51
2013-07-12,119862270,98.57
2013-07-15,105744860,99.9
2013-07-16,90129290,99.47
2013-07-17,71793100,101.15
2013-07-18,97311180,98.39
2013-07-19,83914140,99.99
2013-07-22,73008260,97.77
2013-07-23,75228480,96.85
2013-07-24,98477810,96.46
2013-07-25,85607870,95.77
2013-07-26,80184350,94.81
2013-07-29,45758900,94.28
2013-07-30,57792160,94.06
2013-07-31,64128810,95.23
2013-08-01,56403880,96.84
2013-08-02,63981400,96.99
2013-08-05,39862480,96.22
2013-08-06,40542700,94.71
2013-08-07,52969490,94.41
2013-08-08,53362390,94.02
2013-08-09,59579140,95.7
2013-08-12,50570300,96.24
2013-08-13,66260480,97.39
2013-08-14,55342200,98.0
2013-08-15,65753530,95.42
2013-08-16,77257220,93.8
2013-08-19,65107260,93.6
2013-08-20,86553620,91.75
2013-08-21,102752580,90.63
2013-08-22,88208630,92.08
2013-08-23,57170500,91.91
2013-08-26,38701780,91.29
2013-08-27,75396180,90.06
2013-08-28,89337010,89.39
2013-08-29,61758140,89.82
2013-08-30,67274570,88.23
