Datetime,volume,price
2013-05-08,1238600,51.89
2013-05-10,225500,40.7
2013-05-13,1401500,51.04
2013-05-14,1472700,50.15
2013-05-15,775500,50.55
2013-05-16,1578700,50.25
2013-05-17,971300,50.22
2013-05-20,1285900,49.66
2013-05-21,1761800,51.59
2013-05-22,1762300,52.6
2013-05-23,2545000,49.0
2013-05-24,1700900,50.1
2013-05-27,718400,50.55
2013-05-28,1990000,52.04
2013-05-29,2558800,51.15
2013-05-30,937200,51.6
2013-05-31,1988000,52.3
2013-06-03,1080600,50.5
2013-06-04,2038400,51.99
2013-06-05,800700,52.09
2013-06-06,728100,52.45
2013-06-07,2707200,53.47
2013-06-10,739500,52.63
2013-06-11,1394700,50.8
2013-06-13,2480000,51.25
2013-06-14,2249400,53.46
2013-06-17,1845000,53.61
2013-06-18,1023700,54.3
2013-06-19,717400,54.4
2013-06-20,1281800,52.55
2013-06-21,905800,54.35
2013-06-24,962700,53.41
2013-06-25,623500,54.24
2013-06-26,1269600,55.3
2013-06-27,3388500,56.15
2013-06-28,1557800,56.7
2013-07-01,942100,55.7
2013-07-02,5339800,58.0
2013-07-03,2363700,57.86
2013-07-04,526100,58.22
2013-07-05,1819600,58.05
2013-07-08,1656800,58.97
2013-07-09,437100,58.89
2013-07-10,653400,58.63
2013-07-11,864900,58.08
2013-07-12,2458800,57.9
2013-07-15,1854600,58.59
2013-07-16,1189700,57.8
2013-07-17,979300,57.71
2013-07-18,1339000,57.55
2013-07-19,432900,57.03
2013-07-22,1046500,56.99
2013-07-23,720500,56.65
2013-07-24,1634200,55.49
2013-07-25,858400,55.07
2013-07-26,815200,55.11
2013-07-29,1350200,56.0
2013-07-30,1607000,56.41
2013-07-31,1875400,57.36
2013-08-01,998100,58.4
2013-08-02,353200,57.01
2013-08-05,647000,56.13
2013-08-06,542800,56.0
2013-08-07,371900,55.39
2013-08-08,2118200,56.0
2013-08-09,351600,55.96
2013-08-12,699700,56.5
2013-08-13,508600,56.51
2013-08-14,511600,56.1
2013-08-15,605800,55.22
2013-08-16,811700,53.91
2013-08-19,657300,54.19
2013-08-20,470200,53.97
2013-08-21,756900,52.86
2013-08-22,3456900,53.85
2013-08-23,1040800,54.0
2013-08-26,842900,53.6
2013-08-27,922300,52.61
2013-08-28,1576200,52.17
2013-08-29,2842900,50.51
2013-08-30,5438600,48.82
2013-09-02,1815400,48.5
2013-09-03,1804200,47.71
2013-09-04,4016400,47.74
2013-09-05,3273400,49.38
2013-09-06,2239900,49.47
2013-09-09,2149200,50.1
2013-09-10,1950200,50.77
2013-09-11,1955900,51.51
2013-09-12,949800,51.1
2013-09-13,762600,51.24
2013-09-16,2990800,52.87
2013-09-17,2676800,53.9
2013-09-18,1983400,53.52
2013-09-19,3063300,54.33
2013-09-20,2009900,54.97
2013-09-23,2225100,54.96
2013-09-24,1143100,54.78
2013-09-25,2119500,55.4
2013-09-26,1180300,54.27
2013-09-27,914900,54.64
2013-09-30,760700,54.44
2013-10-01,2161900,55.35
2013-10-02,602200,54.56
2013-10-03,990100,55.25
2013-10-04,489100,55.2
2013-10-07,317400,55.2
2013-10-08,1806400,55.14
2013-10-09,921900,55.0
2013-10-10,1902000,55.17
2013-10-11,6383600,55.05
2013-10-14,1859300,55.29
2013-10-15,4465800,55.2
2013-10-16,1289900,55.29
2013-10-17,1966400,55.31
2013-10-18,4123200,55.41
2013-10-21,1546200,55.5
2013-10-22,5143700,55.68
2013-10-23,3367000,56.05
2013-10-24,3768400,57.14
2013-10-25,1697200,57.02
2013-10-28,734200,57.18
2013-10-29,4917700,57.6
2013-10-30,3976300,56.89
2013-10-31,2779400,57.4
2013-11-01,2286300,57.38
2013-11-05,729000,56.85
