date,close,volume
17/05/10,248.5,770365
18/05/10,246.35,1442315
19/05/10,239.04,677535
20/05/10,230.6,755754
21/05/10,233.98,914216
24/05/10,230.2,1024991
25/05/10,217.64,1130980
26/05/10,225.99,1340252
27/05/10,230.4,1426282
28/05/10,230.46,894102
31/05/10,233,432999
01/06/10,229.93,872799
02/06/10,230.64,930919
03/06/10,237.85,1587782
04/06/10,233.94,1067518
07/06/10,231.55,808841
08/06/10,230,1324632
09/06/10,232.9,614907
10/06/10,233,958836
11/06/10,231.89,665501
15/06/10,236.84,360317
16/06/10,234.26,534893
17/06/10,233.87,1010771
18/06/10,232.95,827508
21/06/10,234.3,881321
22/06/10,232,777617
23/06/10,231.99,1096805
24/06/10,236.5,1342518
25/06/10,243.63,2209722
28/06/10,246,1184113
29/06/10,234,1344733
30/06/10,236.7,988362
01/07/10,227.51,1056883
02/07/10,230.6,834271
05/07/10,232.9,340984
06/07/10,237.12,868848
07/07/10,238.17,639806
08/07/10,242.26,849914
09/07/10,240.4,962446
12/07/10,242.34,380889
13/07/10,243,859672
14/07/10,239.89,609767
15/07/10,239.35,614890
16/07/10,240.26,409322
19/07/10,240.14,357316
20/07/10,239.49,719944
21/07/10,240.49,792603
22/07/10,242.99,682948
23/07/10,241.78,902241
26/07/10,243.73,811808
27/07/10,243.23,445205
28/07/10,243.81,324297
29/07/10,244.15,394255
30/07/10,240.5,658509
02/08/10,241.6,572581
03/08/10,244.5,1294473
04/08/10,243.5,661240
05/08/10,244.38,743987
06/08/10,244.16,312811
09/08/10,244.79,354848
10/08/10,243.69,351714
11/08/10,244.11,439391
12/08/10,243.28,411183
13/08/10,243.5,402388
16/08/10,243.3,246248
17/08/10,244.74,311749
18/08/10,244.15,361829
19/08/10,244,348670
20/08/10,244.5,743863
23/08/10,245.6,492962
24/08/10,243.81,401985
25/08/10,244.18,307261
26/08/10,246.56,924195
27/08/10,248,542845
30/08/10,252.3,789791
31/08/10,249.22,2047216
01/09/10,248.84,446598
02/09/10,249.09,493157
03/09/10,249.1,599769
06/09/10,249.48,198824
07/09/10,248.81,295306
08/09/10,251.9,1364342
09/09/10,255.5,620717
10/09/10,255.47,782150
13/09/10,258.05,734149
14/09/10,257.75,585147
15/09/10,258.8,530475
16/09/10,258.26,406541
17/09/10,256.98,618004
20/09/10,254.99,1255251
21/09/10,253.17,695017
22/09/10,250.94,1159343
23/09/10,248.45,671186
24/09/10,253.55,509707
27/09/10,251.49,358821
28/09/10,249.13,363016
29/09/10,250.36,251441
30/09/10,250.7,385129
01/10/10,250.61,861586
04/10/10,252.48,745081
05/10/10,253,506111
06/10/10,254.05,922103
07/10/10,253.6,357494
08/10/10,250.66,279676
11/10/10,251.99,276985
12/10/10,250.7,444330
13/10/10,250.96,864579
14/10/10,249.08,817923
15/10/10,250.96,624464
18/10/10,250,330937
19/10/10,252.56,1618514
20/10/10,251.7,922058
21/10/10,254.38,1605008
22/10/10,252.5,621116
25/10/10,252.09,900992
26/10/10,250,854749
27/10/10,249.98,521151
28/10/10,249.7,462578
29/10/10,250.2,517079
01/11/10,250.06,771919
02/11/10,254.3,1316103
03/11/10,258.04,1822541
08/11/10,260.5,1687261
09/11/10,260.72,959724
10/11/10,259.2,641719
11/11/10,256.8,1265392
12/11/10,256.33,772314
13/11/10,255.7,144627
15/11/10,255.58,813727
16/11/10,255.63,891620
17/11/10,256.32,627096
18/11/10,258.32,756444
19/11/10,256.2,580956
22/11/10,256.48,600956
23/11/10,254.5,1112597
24/11/10,255.84,685111
25/11/10,255.5,744660
26/11/10,254.95,452167
29/11/10,254,1126908
30/11/10,254.1,392241
01/12/10,256.03,640401
02/12/10,257.5,901678
03/12/10,256.3,1055823
06/12/10,257.57,622343
07/12/10,258.2,1292412
08/12/10,255.4,1000658
09/12/10,254.99,1197946
10/12/10,254.02,914637
13/12/10,254,1089584
14/12/10,254.2,802659
15/12/10,253.93,569783
16/12/10,254,438392
17/12/10,256.5,743045
20/12/10,257.74,1802590
21/12/10,260.97,951672
22/12/10,260.34,499682
23/12/10,260,378502
24/12/10,259.43,378918
27/12/10,258,701656
28/12/10,257.71,498709
29/12/10,258.01,824056
30/12/10,259.88,639282
11/01/11,260.34,932525
12/01/11,260.5,2519275
13/01/11,259.19,963498
14/01/11,257.27,777149
17/01/11,259.65,1022189
18/01/11,260.94,2079216
19/01/11,263,1452055
20/01/11,258.98,1009555
21/01/11,259.5,691456
24/01/11,257,1181897
25/01/11,255.47,979095
26/01/11,255.95,871012
27/01/11,252.82,1456783
28/01/11,251,1087301
31/01/11,249.8,1061202
01/02/11,249.7,1074262
02/02/11,248.79,1691611
03/02/11,249.34,919950
04/02/11,249.37,799741
07/02/11,251.51,921331
08/02/11,249.95,1183165
09/02/11,249.7,833395
10/02/11,245.97,959343
11/02/11,247,827398
14/02/11,247,630478
15/02/11,245.95,594464
16/02/11,249.99,836561
17/02/11,252.19,1154341
18/02/11,254.49,1485972
21/02/11,254.68,590985
22/02/11,251.51,754078
24/02/11,247.15,1093993
25/02/11,249.49,1919657
28/02/11,247.25,1668867
01/03/11,246.6,1772490
02/03/11,243.9,1966560
03/03/11,245.4,2068060
04/03/11,248.19,1616450
05/03/11,249.9,549500
09/03/11,254.7,2744850
10/03/11,253.5,1252070
11/03/11,252.19,1308820
14/03/11,252.1,1209210
15/03/11,247.72,2193270
16/03/11,246.89,1129510
17/03/11,247.98,949660
18/03/11,248.3,777260
21/03/11,250.61,1480390
22/03/11,251.3,1045390
23/03/11,251.05,1512770
24/03/11,251.98,2399200
25/03/11,258.68,1666200
28/03/11,259.21,1716930
29/03/11,256.01,2073360
30/03/11,260.1,839220
31/03/11,259.48,712450
01/04/11,261.65,1414790
04/04/11,260.4,1484190
05/04/11,259.71,1821630
06/04/11,259.81,699830
07/04/11,259.2,691100
08/04/11,261,951970
11/04/11,258.43,622200
12/04/11,254.5,1364740
13/04/11,256.9,693880
14/04/11,254.26,980610
15/04/11,256.9,1307510
18/04/11,251.19,1485500
19/04/11,252.5,1435970
20/04/11,254.38,810990
21/04/11,255.5,862410
22/04/11,256.99,424780
25/04/11,254.87,703130
26/04/11,254.71,567390
27/04/11,252.95,1253340
28/04/11,253.77,1042690
29/04/11,255.77,757010
03/05/11,252.5,1079040
04/05/11,248.7,1644390
05/05/11,249.72,1161170
06/05/11,253.13,2622210
10/05/11,254.3,4400510
11/05/11,243.84,2664330
12/05/11,238.35,1681990
13/05/11,237.39,1202040
16/05/11,240.67,1257690
17/05/11,238.17,1218970
18/05/11,238.86,789520
19/05/11,238.31,1380180
20/05/11,236.01,465780
23/05/11,232.32,1069410
24/05/11,232.31,450120
25/05/11,232.18,927400
26/05/11,230.59,760220
27/05/11,233.49,619480
30/05/11,233.82,390180
31/05/11,235.49,473470
01/06/11,235.2,677190
02/06/11,235.75,459980
03/06/11,233.45,705240
06/06/11,234.19,641830
07/06/11,235.39,542590
08/06/11,235.25,450230
09/06/11,241.76,1092090
10/06/11,240.64,743040
14/06/11,242,773680
15/06/11,239,1849300
16/06/11,236.65,1516610
17/06/11,233.95,948360
20/06/11,233,929030
21/06/11,232.02,662640
22/06/11,231.57,616290
23/06/11,229.1,956190
24/06/11,230.8,535570
27/06/11,228.99,428100
28/06/11,228.5,1032740
29/06/11,228.59,1009320
30/06/11,230.05,417530
01/07/11,241.25,4409430
04/07/11,241.82,698380
05/07/11,243.98,622170
06/07/11,242.4,370460
07/07/11,243.96,586060
08/07/11,241.75,590380
11/07/11,237.7,767690
12/07/11,238.97,895780
13/07/11,238.99,424850
14/07/11,239.09,653690
15/07/11,238.85,238810
18/07/11,238.86,396870
19/07/11,239.7,431210
20/07/11,239.32,309920
21/07/11,239.97,877790
22/07/11,241.01,498350
25/07/11,243.7,411530
26/07/11,243.97,589950
27/07/11,242.22,608570
28/07/11,242.9,416480
29/07/11,240.5,774280
01/08/11,242,509250
02/08/11,241.28,637860
03/08/11,232.6,1193810
04/08/11,232.35,1254090
05/08/11,228.2,1189960
08/08/11,220.45,1490360
09/08/11,220.5,3510890
10/08/11,209,1991010
11/08/11,211.2,1452880
12/08/11,215,934510
15/08/11,218.6,727740
16/08/11,217.33,1002010
17/08/11,220.03,433030
18/08/11,208,1722640
19/08/11,208.16,2990800
22/08/11,212.27,842420
23/08/11,211.5,529470
24/08/11,214.87,796400
25/08/11,212.98,695830
26/08/11,212.26,620750
29/08/11,215.48,775230
30/08/11,215,1517280
31/08/11,218.62,949000
01/09/11,224.66,1530550
02/09/11,221.41,785090
05/09/11,216.29,738200
06/09/11,211.5,1755270
07/09/11,213.39,1618260
08/09/11,211.02,1886960
09/09/11,208.5,875000
12/09/11,203,1415170
13/09/11,202.8,927600
14/09/11,202.54,846560
15/09/11,205.66,2010010
16/09/11,205,737060
19/09/11,204.5,720570
