date,close,volume
17/05/10,76.01,323350490
18/05/10,77.12,301447324
19/05/10,73.68,263484767
20/05/10,69.9,378569560
21/05/10,69.3,449006684
24/05/10,69.96,287984237
25/05/10,64.33,314268013
26/05/10,69.12,517825652
27/05/10,70.65,412221134
28/05/10,70.2,271758032
31/05/10,71,111332736
01/06/10,70.7,249071732
02/06/10,70.95,310762682
03/06/10,72.01,225153654
04/06/10,70.25,305285507
07/06/10,71.14,270930219
08/06/10,70.95,309313364
09/06/10,71.9,254071466
10/06/10,73.29,251711305
11/06/10,72.19,192746032
15/06/10,76,242082162
16/06/10,76.71,264342433
17/06/10,78.5,341856181
18/06/10,80.3,231283301
21/06/10,84.02,213279036
22/06/10,82.41,256580028
23/06/10,80.85,173907932
24/06/10,80.28,181469258
25/06/10,78,197010494
28/06/10,80.13,169068031
29/06/10,77.5,177491330
30/06/10,76.5,279914202
01/07/10,71.9,238132128
02/07/10,72.98,275095930
05/07/10,73.37,94778049
06/07/10,76.7,218552099
07/07/10,77.49,269657516
08/07/10,77.18,244471129
09/07/10,77.66,184961602
12/07/10,79.8,236060133
13/07/10,82.47,266859709
14/07/10,82.06,229084622
15/07/10,80.76,288413414
16/07/10,79.07,242516787
19/07/10,80.5,168773074
20/07/10,79.8,199892620
21/07/10,81.9,225537883
22/07/10,83.93,239728498
23/07/10,83.01,209419525
26/07/10,84.19,168866750
27/07/10,84.62,209534194
28/07/10,84.28,193947538
29/07/10,86.58,165124914
30/07/10,84.56,180445211
02/08/10,86.58,157548448
03/08/10,85.84,137192088
04/08/10,85.84,166965471
05/08/10,84.3,161368871
06/08/10,82.83,146647425
09/08/10,83.68,103460399
10/08/10,82.8,132899617
11/08/10,80.93,141721813
12/08/10,80.92,174055044
13/08/10,80.71,159775648
16/08/10,79.97,155733478
17/08/10,81.26,151199205
18/08/10,80.6,133762795
19/08/10,79.4,164823318
20/08/10,78.37,152472041
23/08/10,77.95,149927797
24/08/10,75.4,178429176
25/08/10,73.99,224036560
26/08/10,76.62,247165773
27/08/10,77.01,219280872
30/08/10,77.3,115973037
31/08/10,78.31,156077246
01/09/10,80.42,188134726
02/09/10,80.63,166018543
03/09/10,81.72,172225993
06/09/10,81.74,60616188
07/09/10,79.95,132463379
08/09/10,82.18,210631323
09/09/10,83.66,217947911
10/09/10,83.36,130481879
13/09/10,84.59,139737215
14/09/10,84.5,210460821
15/09/10,84.45,158565396
16/09/10,83,161719713
17/09/10,82.15,125661791
20/09/10,83.37,124949259
21/09/10,83.84,100486042
22/09/10,82.73,137482594
23/09/10,84.3,165836113
24/09/10,84.81,146326378
27/09/10,83.66,124657145
28/09/10,83.06,125555628
29/09/10,83.9,135777836
30/09/10,86.08,157234837
01/10/10,89.09,332497240
04/10/10,89.88,194116829
05/10/10,91.97,198933551
06/10/10,91.2,210679688
07/10/10,90.4,145184294
08/10/10,90.5,125265331
11/10/10,91.74,64367686
12/10/10,90.9,130463869
13/10/10,91.3,224522972
14/10/10,91.47,174933487
15/10/10,92.53,167179901
18/10/10,94.96,226993882
19/10/10,95.37,258837908
20/10/10,97.7,206026144
21/10/10,103.31,384467605
22/10/10,101.9,240136905
25/10/10,102.3,132205725
26/10/10,101.42,156415796
27/10/10,99.72,138773378
28/10/10,99.35,151053464
29/10/10,101.36,170857229
01/11/10,101.85,145595372
02/11/10,102.35,97477001
03/11/10,103.3,98268642
08/11/10,103.95,157184534
09/11/10,103.59,155943617
10/11/10,100.44,215254638
11/11/10,98.4,233843753
12/11/10,97.94,233508942
13/11/10,97.8,24175706
15/11/10,99.2,145106810
16/11/10,95.26,243384333
17/11/10,97.2,279940569
18/11/10,99.66,225176730
19/11/10,98.7,170964435
22/11/10,99.15,168513234
23/11/10,98.5,221630895
24/11/10,101.31,219261599
25/11/10,102.6,173822312
26/11/10,101.36,175775832
29/11/10,100.71,163681100
30/11/10,101.51,161790608
01/12/10,103.34,167913467
02/12/10,103.64,226962277
03/12/10,103.03,175138963
06/12/10,105.56,252123948
07/12/10,107.37,249128445
08/12/10,104.67,276698625
09/12/10,104.63,204816498
