date,close,volume
17/05/10,131.5,1339960
18/05/10,132.1,1005836
19/05/10,130.09,913283
20/05/10,122,1640143
21/05/10,124.56,2157226
22/05/10,124.56,0
23/05/10,124.56,0
24/05/10,126.44,978670
25/05/10,121.15,2349551
26/05/10,124,3168777
27/05/10,131.15,3018003
28/05/10,133.5,1956176
29/05/10,133.5,0
30/05/10,133.5,0
31/05/10,140.2,1436110
01/06/10,136.44,2413375
02/06/10,135.7,1567784
03/06/10,136.36,1777306
04/06/10,134.1,1473257
05/06/10,134.1,0
06/06/10,134.1,0
07/06/10,132.37,1123760
08/06/10,129,1212102
09/06/10,134.46,1508323
10/06/10,140.2,2523447
11/06/10,139.99,1778789
12/06/10,139.99,0
13/06/10,139.99,0
14/06/10,139.99,0
15/06/10,143,1854099
16/06/10,141.01,1819217
17/06/10,143.8,1899385
18/06/10,145,1437300
19/06/10,145,0
20/06/10,145,0
21/06/10,146.41,1647622
22/06/10,145.2,1201538
23/06/10,144.67,1244052
24/06/10,143.5,568959
25/06/10,142.4,799166
26/06/10,142.4,0
27/06/10,142.4,0
28/06/10,143.7,1014748
29/06/10,139.4,930308
30/06/10,140,904600
01/07/10,136.19,1433551
02/07/10,141.37,930057
03/07/10,141.37,0
04/07/10,141.37,0
05/07/10,141.3,519018
06/07/10,144.57,921864
07/07/10,145.1,876810
08/07/10,144.7,717159
09/07/10,143.93,888945
10/07/10,143.93,0
11/07/10,143.93,0
12/07/10,144.45,602864
13/07/10,144.81,937728
14/07/10,145.6,988969
15/07/10,144.3,1249160
16/07/10,145,744729
17/07/10,145,0
18/07/10,145,0
19/07/10,145.5,597789
20/07/10,144.54,756008
21/07/10,145.58,1097983
22/07/10,147.08,3362399
23/07/10,146,809944
24/07/10,146,0
25/07/10,146,0
26/07/10,145.95,752969
27/07/10,146.7,747491
28/07/10,144.54,760171
29/07/10,147.01,1504606
30/07/10,146.94,1038252
31/07/10,146.94,0
01/08/10,146.94,0
02/08/10,147,1341948
03/08/10,146.85,1253649
04/08/10,147.06,1434035
05/08/10,146.94,507713
06/08/10,145.01,887353
07/08/10,145.01,0
08/08/10,145.01,0
09/08/10,146.28,978764
10/08/10,144.66,1063906
11/08/10,143.68,1075462
12/08/10,143.4,790519
13/08/10,143.45,783232
14/08/10,143.45,0
15/08/10,143.45,0
16/08/10,144.32,883823
17/08/10,145.8,1262819
18/08/10,146.15,732313
19/08/10,144.49,1167660
20/08/10,143.53,859011
21/08/10,143.53,0
22/08/10,143.53,0
23/08/10,142.54,787302
24/08/10,137.47,2051198
25/08/10,137.8,1088003
26/08/10,138.36,1026001
27/08/10,140.19,938418
28/08/10,140.19,0
29/08/10,140.19,0
30/08/10,141.99,398366
31/08/10,142,848803
