date,open,high,low,close,volume,price
2013-01-02,12.35,12.43,12.1,12.33,49800.0,12.33
2013-01-03,12.37,12.37,12.12,12.24,14500.0,12.24
2013-01-04,12.29,12.29,12.14,12.18,16800.0,12.18
2013-01-07,12.1,12.11,11.96,12.03,12200.0,12.03
2013-01-08,12.06,12.06,11.89,12.03,6400.0,12.03
2013-01-09,12.02,12.08,11.91,12.03,9400.0,12.03
2013-01-10,12.09,12.09,11.84,12.01,11900.0,12.01
2013-01-11,12.04,12.09,11.92,11.96,5800.0,11.96
2013-01-14,11.94,12.0,11.88,11.98,8900.0,11.98
2013-01-15,11.9,12.09,11.77,12.0,25800.0,12.0
2013-01-16,11.91,11.95,11.85,11.86,11300.0,11.86
2013-01-17,11.93,11.98,11.85,11.92,9900.0,11.92
2013-01-18,11.88,11.96,11.85,11.92,17800.0,11.92
2013-01-22,11.89,11.95,11.86,11.94,13200.0,11.94
2013-01-23,11.94,11.94,11.83,11.85,15300.0,11.85
2013-01-24,11.98,11.98,11.82,11.89,14200.0,11.89
2013-01-25,11.9,11.9,11.69,11.85,16800.0,11.85
2013-01-28,11.8,11.8,11.6,11.77,27200.0,11.77
2013-01-29,11.86,11.9,11.77,11.79,9600.0,11.79
2013-01-30,11.79,11.83,11.73,11.76,11500.0,11.76
2013-01-31,11.78,11.84,11.62,11.76,25500.0,11.76
2013-02-01,11.83,11.83,11.58,11.61,24300.0,11.61
2013-02-04,11.58,11.69,11.43,11.44,9600.0,11.44
2013-02-05,11.61,11.79,11.42,11.55,27700.0,11.55
2013-02-06,11.52,11.65,11.23,11.52,22500.0,11.52
2013-02-07,11.51,11.6,11.33,11.49,16400.0,11.49
2013-02-08,11.51,11.53,11.31,11.41,22200.0,11.41
2013-02-11,11.44,11.51,11.27,11.49,19900.0,11.49
2013-02-12,11.51,11.79,11.4,11.67,19000.0,11.67
2013-02-13,11.46,11.9,11.46,11.69,36400.0,11.69
2013-02-14,11.67,11.68,11.57,11.6,2600.0,11.6
2013-02-15,11.7,11.7,11.53,11.55,26100.0,11.55
2013-02-19,11.62,11.72,11.44,11.6,27300.0,11.6
