date,open,high,low,close,volume,price
2013-01-02,256.08,258.1,253.26,257.31,3271000.0,257.31
2013-01-03,257.27,260.88,256.37,258.48,2750900.0,258.48
2013-01-04,257.58,259.8,256.65,259.15,1874200.0,259.15
2013-01-07,262.97,269.73,262.67,268.46,4910000.0,268.46
2013-01-08,267.07,268.98,263.57,266.38,3010700.0,266.38
2013-01-09,268.17,269.5,265.4,266.35,2265600.0,266.35
2013-01-10,268.54,268.74,262.3,265.34,2863400.0,265.34
2013-01-11,265.1,268.43,264.11,267.94,2413300.0,267.94
2013-01-14,268.0,274.26,267.54,272.73,4275000.0,272.73
2013-01-15,270.68,272.73,269.3,271.9,2326900.0,271.9
2013-01-16,270.53,271.24,267.83,268.93,2065600.0,268.93
2013-01-17,271.5,271.97,269.21,270.48,1884600.0,270.48
2013-01-18,270.83,274.5,269.6,272.12,2942000.0,272.12
2013-01-22,271.62,272.1,269.23,270.19,2137700.0,270.19
2013-01-23,270.57,271.09,266.65,268.11,2508900.0,268.11
2013-01-24,269.37,276.65,269.37,273.46,3417000.0,273.46
2013-01-25,275.0,284.72,274.4,283.99,4968100.0,283.99
2013-01-28,283.78,284.48,274.4,276.04,4321400.0,276.04
2013-01-29,275.35,275.46,258.35,260.35,10172600.0,260.35
2013-01-30,283.0,284.2,267.11,272.76,13075400.0,272.76
2013-01-31,271.04,275.94,263.7,265.5,6772100.0,265.5
2013-02-01,268.93,268.93,262.8,265.0,6115000.0,265.0
2013-02-04,262.78,264.68,259.07,259.98,3723600.0,259.98
2013-02-05,262.0,268.03,261.46,266.89,4012900.0,266.89
2013-02-06,265.16,266.89,261.11,262.22,2770400.0,262.22
2013-02-07,264.1,264.1,255.11,260.23,3975700.0,260.23
2013-02-08,261.4,265.25,260.55,261.95,3879200.0,261.95
2013-02-11,263.2,263.25,256.6,257.21,3403700.0,257.21
2013-02-12,259.19,260.16,257.0,258.7,2943700.0,258.7
2013-02-13,261.53,269.96,260.3,269.47,5293000.0,269.47
2013-02-14,267.37,270.65,265.4,269.24,3463000.0,269.24
2013-02-15,267.63,268.92,263.11,265.09,3979900.0,265.09
2013-02-19,265.91,270.11,264.5,269.75,2854200.0,269.75
2013-02-20,270.2,274.3,266.37,266.41,3528900.0,266.41
2013-02-21,265.12,269.48,263.25,265.94,3637400.0,265.94
2013-02-22,266.62,267.11,261.61,265.42,3124800.0,265.42
2013-02-25,266.94,268.69,259.65,259.87,3032400.0,259.87
2013-02-26,260.89,262.04,255.73,259.36,3348600.0,259.36
2013-02-27,259.4,265.83,256.86,263.25,2908100.0,263.25
2013-02-28,261.81,267.0,260.63,264.27,2667200.0,264.27
2013-03-01,263.27,266.6,261.04,265.74,2957000.0,265.74
2013-03-04,265.36,273.3,264.14,273.11,3453000.0,273.11
2013-03-05,274.0,276.68,269.99,275.59,3686200.0,275.59
2013-03-06,275.76,276.49,271.83,273.79,2050700.0,273.79
2013-03-07,274.1,274.8,271.85,273.88,1939000.0,273.88
2013-03-08,275.0,275.44,271.5,274.19,1879800.0,274.19
2013-03-11,273.43,273.99,270.4,271.24,1904900.0,271.24
2013-03-12,271.0,277.4,270.36,274.13,3246200.0,274.13
2013-03-13,275.24,276.5,272.64,275.1,1884200.0,275.1
2013-03-14,269.67,270.0,263.53,265.74,5226700.0,265.74
2013-03-15,264.98,267.26,260.05,261.82,4865900.0,261.82
2013-03-18,259.3,261.49,257.12,257.89,2720200.0,257.89
2013-03-19,258.4,259.5,252.62,256.41,3738500.0,256.41
2013-03-20,258.05,259.76,254.55,257.28,2738900.0,257.28
2013-03-21,256.11,257.0,252.68,253.39,2806400.0,253.39
2013-03-22,254.55,257.77,252.07,257.75,3124600.0,257.75
2013-03-25,258.58,259.43,254.5,256.02,2513900.0,256.02
2013-03-26,257.05,261.48,256.28,260.31,2421000.0,260.31
2013-03-27,258.75,265.93,257.9,265.3,2874900.0,265.3
2013-03-28,265.82,267.38,264.06,266.49,2473700.0,266.49
2013-04-01,266.98,267.4,261.01,261.61,2524800.0,261.61
2013-04-02,262.4,265.89,260.55,263.32,2631100.0,263.32
2013-04-03,262.12,263.67,257.75,259.03,2413800.0,259.03
2013-04-04,259.23,260.41,256.12,259.08,1964400.0,259.08
2013-04-05,255.72,256.18,253.67,255.48,2557400.0,255.48
2013-04-08,255.92,259.68,255.63,258.95,2295600.0,258.95
2013-04-09,258.85,262.61,257.0,261.14,2156600.0,261.14
2013-04-10,261.78,265.98,259.32,264.77,2322500.0,264.77
2013-04-11,264.74,270.97,264.74,269.85,3090500.0,269.85
2013-04-12,270.12,273.27,267.02,272.87,2866300.0,272.87
2013-04-15,271.08,275.12,267.1,267.72,3326000.0,267.72
2013-04-16,269.31,272.8,268.06,272.34,2137200.0,272.34
2013-04-17,270.8,270.85,264.25,267.4,3135100.0,267.4
2013-04-18,266.81,266.99,256.6,259.42,3137600.0,259.42
2013-04-19,258.16,262.88,257.5,260.32,2602500.0,260.32
2013-04-22,259.35,264.6,258.03,263.55,2119100.0,263.55
2013-04-23,264.5,269.87,264.5,268.9,2270600.0,268.9
2013-04-24,269.5,271.47,266.81,268.78,1852800.0,268.78
2013-04-25,271.53,275.8,270.5,274.7,6116500.0,274.7
2013-04-26,269.97,272.02,252.81,254.81,14030000.0,254.81
2013-04-29,254.9,257.01,249.15,249.74,7117000.0,249.74
2013-04-30,249.37,254.68,248.56,253.81,4248800.0,253.81
2013-05-01,253.9,254.2,245.75,248.23,4391400.0,248.23
2013-05-02,248.94,252.93,245.78,252.55,3936200.0,252.55
2013-05-03,256.14,259.25,254.7,258.05,3514000.0,258.05
2013-05-06,258.09,259.5,253.42,255.72,2347800.0,255.72
2013-05-07,256.31,259.74,252.91,257.73,3133700.0,257.73
2013-05-08,256.87,260.3,255.33,258.68,2677000.0,258.68
2013-05-09,258.73,263.55,256.88,260.16,2769300.0,260.16
2013-05-10,260.88,263.65,260.21,263.63,3145300.0,263.63
2013-05-13,262.77,265.88,262.0,264.51,2149500.0,264.51
2013-05-14,264.5,269.4,264.03,268.33,2700000.0,268.33
2013-05-15,267.07,269.05,264.56,266.56,2720500.0,266.56
2013-05-16,265.96,268.43,263.85,264.12,1643500.0,264.12
2013-05-17,265.83,269.98,265.0,269.9,2527300.0,269.9
2013-05-20,269.0,271.79,266.5,267.63,2209000.0,267.63
2013-05-21,268.74,270.77,267.66,268.86,1741200.0,268.86
2013-05-22,267.39,267.59,260.8,262.96,3332000.0,262.96
2013-05-23,260.49,263.17,259.59,261.8,2000300.0,261.8
2013-05-24,259.85,261.93,258.34,261.74,1696300.0,261.74
2013-05-28,266.48,271.1,266.0,267.29,3471000.0,267.29
2013-05-29,265.46,268.25,264.84,265.53,1903400.0,265.53
2013-05-30,265.71,268.57,265.61,266.83,1667500.0,266.83
2013-05-31,266.0,271.91,265.94,269.2,3374300.0,269.2
2013-06-03,268.96,269.11,262.95,266.88,2543900.0,266.88
2013-06-04,267.0,268.88,263.02,265.7,2088600.0,265.7
2013-06-05,265.81,271.66,265.02,267.17,3512300.0,267.17
2013-06-06,267.75,270.5,264.21,267.83,2476300.0,267.83
2013-06-07,269.74,280.1,269.13,276.87,4632600.0,276.87
2013-06-10,276.68,282.47,275.24,281.07,3086500.0,281.07
2013-06-11,276.0,278.41,274.24,274.78,3097800.0,274.78
2013-06-12,276.6,276.8,270.45,271.67,2238900.0,271.67
2013-06-13,271.5,276.8,270.29,275.79,2649800.0,275.79
2013-06-14,275.0,277.07,273.44,273.99,2150800.0,273.99
2013-06-17,276.35,280.2,275.65,278.06,2884000.0,278.06
2013-06-18,279.08,282.91,278.11,281.76,2146100.0,281.76
2013-06-19,281.26,283.34,277.87,278.16,2827500.0,278.16
2013-06-20,275.14,278.6,272.39,273.44,2984000.0,273.44
2013-06-21,274.57,275.84,269.79,273.36,4201000.0,273.36
2013-06-24,271.29,273.16,265.0,270.61,3863800.0,270.61
2013-06-25,272.3,273.47,269.0,272.09,2449600.0,272.09
2013-06-26,273.98,277.98,273.5,277.57,3029500.0,277.57
2013-06-27,279.18,280.2,274.54,277.55,2519500.0,277.55
2013-06-28,276.19,279.83,276.19,277.69,3193300.0,277.69
2013-07-01,279.0,283.29,277.16,282.1,2888200.0,282.1
2013-07-02,281.04,286.58,280.59,283.73,3238200.0,283.73
2013-07-03,282.0,285.4,282.0,284.03,1373000.0,284.03
2013-07-05,285.0,286.38,282.07,285.88,1985400.0,285.88
2013-07-08,286.42,291.67,286.14,290.59,3046700.0,290.59
2013-07-09,291.0,292.57,288.01,291.53,2775600.0,291.53
2013-07-10,291.41,293.34,289.4,292.33,1810200.0,292.33
