date,open,high,low,close,volume,price
2013-01-02,137.28,137.86,135.12,136.03,893700.0,136.03
2013-01-03,136.37,137.44,135.92,136.78,461600.0,136.78
2013-01-04,136.78,137.12,136.23,136.37,496600.0,136.37
2013-01-07,135.94,136.76,135.46,136.51,559500.0,136.51
2013-01-08,136.36,137.08,135.56,136.09,519300.0,136.09
2013-01-09,136.36,136.82,135.65,136.64,522300.0,136.64
2013-01-10,137.11,137.28,136.26,137.09,590100.0,137.09
2013-01-11,137.11,137.76,136.0,136.16,608000.0,136.16
2013-01-14,136.34,137.0,136.16,136.81,497600.0,136.81
2013-01-15,136.31,138.5,136.31,138.37,480200.0,138.37
2013-01-16,137.89,138.38,137.47,137.93,517700.0,137.93
2013-01-17,138.42,138.75,137.9,138.58,589400.0,138.58
2013-01-18,138.35,138.67,137.5,138.56,546400.0,138.56
2013-01-22,138.23,139.16,138.23,139.15,546200.0,139.15
2013-01-23,138.72,139.22,138.7,138.96,629600.0,138.96
2013-01-24,139.45,139.51,137.73,138.34,707900.0,138.34
2013-01-25,138.83,139.38,138.13,138.42,721000.0,138.42
2013-01-28,138.93,139.05,137.6,137.64,746100.0,137.64
2013-01-29,137.49,138.6,137.16,137.92,1092600.0,137.92
2013-01-30,137.19,137.85,135.5,135.64,1113300.0,135.64
2013-01-31,133.96,135.25,126.69,129.79,3402500.0,129.79
2013-02-01,130.85,130.85,125.82,126.11,4489800.0,126.11
2013-02-04,126.0,126.36,124.3,125.93,3556300.0,125.93
2013-02-05,126.07,126.84,124.11,126.37,1805500.0,126.37
2013-02-06,126.31,130.48,126.13,128.49,2100200.0,128.49
2013-02-07,128.38,128.38,126.16,126.99,1070200.0,126.99
2013-02-08,127.51,129.09,127.51,128.84,956400.0,128.84
2013-02-11,128.84,130.37,128.84,129.78,1257400.0,129.78
2013-02-12,129.63,130.9,129.3,130.83,685700.0,130.83
2013-02-13,131.1,131.23,129.88,130.23,590600.0,130.23
2013-02-14,129.41,130.82,129.41,130.05,621800.0,130.05
2013-02-15,129.98,130.26,129.29,130.26,1187600.0,130.26
2013-02-19,130.59,130.99,129.64,130.42,555500.0,130.42
2013-02-20,130.32,131.06,129.65,129.69,988900.0,129.69
2013-02-21,129.61,129.86,127.69,127.7,1221900.0,127.7
2013-02-22,128.21,128.9,128.09,128.83,1064800.0,128.83
2013-02-25,129.25,129.32,126.33,126.33,811100.0,126.33
2013-02-26,126.92,127.35,125.52,126.53,998700.0,126.53
2013-02-27,126.38,127.04,125.91,125.94,761900.0,125.94
2013-02-28,125.92,126.49,124.75,124.83,1673200.0,124.83
2013-03-01,124.56,126.25,124.0,126.21,1117100.0,126.21
2013-03-04,125.82,126.79,125.43,126.65,1766100.0,126.65
2013-03-05,127.12,127.74,126.19,126.74,730900.0,126.74
2013-03-06,126.85,127.2,125.76,126.23,714900.0,126.23
2013-03-07,126.25,127.01,124.47,124.75,1177500.0,124.75
2013-03-08,124.92,125.03,123.16,124.08,1183700.0,124.08
2013-03-11,124.03,124.29,123.04,124.02,787300.0,124.02
2013-03-12,123.87,125.91,123.55,125.73,1870900.0,125.73
2013-03-13,125.42,126.99,124.85,126.78,1013300.0,126.78
2013-03-14,126.6,129.4,126.42,129.21,1557700.0,129.21
2013-03-15,128.71,128.96,127.59,128.37,1171800.0,128.37
2013-03-18,127.96,128.79,126.61,126.75,818700.0,126.75
2013-03-19,127.14,127.68,125.28,126.19,652100.0,126.19
2013-03-20,126.61,127.13,125.86,126.53,567600.0,126.53
2013-03-21,125.84,126.94,125.4,125.45,603300.0,125.45
2013-03-22,125.56,127.52,125.47,126.83,842900.0,126.83
2013-03-25,127.23,127.55,126.35,126.52,795600.0,126.52
2013-03-26,126.0,127.58,126.0,127.09,790000.0,127.09
2013-03-27,126.49,127.02,125.98,126.64,654900.0,126.64
2013-03-28,126.86,127.09,126.12,126.67,989900.0,126.67
2013-04-01,127.18,128.12,126.67,128.09,580400.0,128.09
2013-04-02,128.88,129.2,127.9,128.14,598800.0,128.14
2013-04-03,128.23,128.5,127.51,128.0,717300.0,128.0
2013-04-04,128.3,132.23,128.19,132.22,1109500.0,132.22
2013-04-05,131.15,133.54,130.96,133.44,996000.0,133.44
2013-04-08,133.38,133.68,132.56,133.03,726400.0,133.03
2013-04-09,132.91,133.99,131.63,133.5,696000.0,133.5
2013-04-10,134.24,134.24,133.03,133.48,530200.0,133.48
2013-04-11,133.63,135.37,133.51,134.7,735100.0,134.7
2013-04-12,134.55,135.6,134.36,135.57,680800.0,135.57
2013-04-15,134.72,135.36,132.46,132.47,724600.0,132.47
2013-04-16,133.37,134.31,132.35,133.9,669900.0,133.9
2013-04-17,133.59,133.59,131.12,131.19,1265600.0,131.19
2013-04-18,131.59,132.34,130.46,132.01,519800.0,132.01
2013-04-19,132.5,133.42,131.85,133.07,590900.0,133.07
2013-04-22,133.16,133.16,131.54,132.06,691200.0,132.06
2013-04-23,132.39,132.39,131.1,131.89,713400.0,131.89
2013-04-24,132.13,133.02,131.81,132.08,673100.0,132.08
2013-04-25,131.96,132.01,130.55,131.13,574300.0,131.13
2013-04-26,131.23,131.55,129.72,130.22,509600.0,130.22
2013-04-29,130.58,131.26,129.84,131.05,440900.0,131.05
2013-04-30,131.03,133.04,130.77,133.04,735700.0,133.04
2013-05-01,133.5,135.73,131.8,132.24,1024400.0,132.24
2013-05-02,132.5,133.26,130.11,130.7,874200.0,130.7
2013-05-03,131.52,131.85,129.24,129.79,968700.0,129.79
2013-05-06,130.21,130.99,129.54,130.76,680800.0,130.76
2013-05-07,130.78,133.2,130.54,133.0,594700.0,133.0
2013-05-08,132.73,133.37,131.92,132.77,566900.0,132.77
2013-05-09,132.46,133.09,132.09,132.57,576800.0,132.57
2013-05-10,132.84,133.54,132.02,133.29,531100.0,133.29
2013-05-13,133.2,135.0,132.81,134.79,643400.0,134.79
2013-05-14,134.57,136.65,134.57,136.64,1020200.0,136.64
2013-05-15,136.76,137.22,135.7,137.18,1063600.0,137.18
2013-05-16,136.61,139.31,136.61,138.02,1082700.0,138.02
2013-05-17,138.1,139.01,138.01,138.69,892200.0,138.69
2013-05-20,138.65,141.04,138.57,140.64,923600.0,140.64
2013-05-21,141.0,141.95,140.49,141.46,509500.0,141.46
2013-05-22,141.67,141.83,138.04,138.56,1483300.0,138.56
2013-05-23,137.0,138.99,136.09,138.99,5081300.0,138.99
2013-05-24,138.37,138.79,137.29,138.58,808300.0,138.58
2013-05-28,139.55,140.29,135.87,136.58,1198100.0,136.58
2013-05-29,135.65,136.92,132.3,136.66,2020000.0,136.66
2013-05-30,136.66,137.0,133.14,133.36,824400.0,133.36
2013-05-31,132.88,134.8,132.54,132.66,1733200.0,132.66
2013-06-03,132.67,136.08,131.6,135.24,1204100.0,135.24
2013-06-04,135.6,137.0,134.87,136.05,1219500.0,136.05
2013-06-05,135.79,136.42,133.96,134.26,709300.0,134.26
2013-06-06,134.14,135.29,132.91,134.5,697300.0,134.5
2013-06-07,134.28,134.77,132.24,134.48,571900.0,134.48
2013-06-10,134.49,134.94,132.93,133.45,501100.0,133.45
2013-06-11,132.91,132.91,131.03,131.08,933000.0,131.08
2013-06-12,131.55,131.55,129.0,129.3,710600.0,129.3
2013-06-13,129.71,135.04,129.6,134.56,822200.0,134.56
2013-06-14,134.46,135.82,133.45,134.59,536500.0,134.59
2013-06-17,135.31,136.03,133.49,134.26,855400.0,134.26
2013-06-18,134.36,135.8,133.89,134.9,456000.0,134.9
2013-06-19,134.81,135.22,130.15,130.77,554000.0,130.77
2013-06-20,129.98,130.11,126.91,127.97,904500.0,127.97
2013-06-21,128.64,132.79,128.64,131.69,1298400.0,131.69
2013-06-24,130.43,136.88,128.67,133.54,1358200.0,133.54
2013-06-25,134.91,136.44,133.55,135.44,1075600.0,135.44
2013-06-26,135.85,137.55,134.94,135.2,1182300.0,135.2
2013-06-27,136.36,137.38,135.8,136.47,1145200.0,136.47
2013-06-28,136.11,136.92,134.83,134.91,1675100.0,134.91
2013-07-01,134.81,137.46,134.81,135.35,984000.0,135.35
2013-07-02,135.2,137.44,135.2,136.95,964900.0,136.95
2013-07-03,136.41,136.8,134.3,135.73,528100.0,135.73
2013-07-05,135.73,136.13,132.08,135.01,788800.0,135.01
2013-07-08,135.11,136.35,134.14,134.42,690500.0,134.42
2013-07-09,135.07,137.93,134.54,137.31,637300.0,137.31
2013-07-10,137.29,137.59,135.68,137.5,633000.0,137.5
2013-07-11,138.67,141.03,138.67,140.38,761700.0,140.38
2013-07-12,140.99,141.16,139.67,140.45,974800.0,140.45
2013-07-15,139.76,140.74,139.18,139.67,304300.0,139.67
2013-07-16,139.71,141.53,139.65,140.33,444700.0,140.33
2013-07-17,140.47,141.31,139.38,140.59,422200.0,140.59
2013-07-18,141.08,141.71,140.06,141.04,706600.0,141.04
2013-07-19,140.96,141.39,139.51,140.36,1109800.0,140.36
