date,open,high,low,close,volume,price
2013-01-02,100.6,101.45,100.21,101.45,3153800.0,101.45
2013-01-03,102.11,103.02,101.76,102.49,3872400.0,102.49
2013-01-04,102.55,102.91,101.55,102.16,1989000.0,102.16
2013-01-07,101.09,101.73,100.9,101.37,1663900.0,101.37
2013-01-08,101.0,101.79,100.73,101.18,2189900.0,101.18
2013-01-09,101.03,101.5,100.75,101.23,1834400.0,101.23
2013-01-10,101.35,101.5,100.13,100.74,2328500.0,100.74
2013-01-11,101.0,101.49,100.07,100.28,2206300.0,100.28
2013-01-14,100.34,101.9,99.7,100.37,2155100.0,100.37
2013-01-15,99.85,101.52,99.81,101.15,1725200.0,101.15
2013-01-16,100.73,101.61,100.65,101.53,1201700.0,101.53
2013-01-17,101.57,101.75,100.96,100.96,2095400.0,100.96
2013-01-18,100.9,101.45,100.62,101.2,2341600.0,101.2
2013-01-22,101.43,102.17,101.17,102.15,2004500.0,102.15
2013-01-23,102.3,102.75,101.77,102.12,1442800.0,102.12
2013-01-24,102.39,103.53,102.29,102.89,1515400.0,102.89
2013-01-25,102.96,103.13,102.01,102.36,1612800.0,102.36
2013-01-28,102.62,102.75,102.0,102.49,1631700.0,102.49
2013-01-29,102.15,103.53,102.1,103.36,2073100.0,103.36
2013-01-30,103.0,103.11,102.3,102.53,1939800.0,102.53
2013-01-31,102.5,103.15,102.11,102.34,1656300.0,102.34
2013-02-01,102.89,104.35,102.59,104.15,2316000.0,104.15
2013-02-04,104.11,104.11,102.34,102.48,1728600.0,102.48
2013-02-05,102.75,103.97,102.28,103.31,1842400.0,103.31
2013-02-06,102.88,103.19,100.94,101.7,3192000.0,101.7
2013-02-07,101.77,102.31,101.2,101.85,3007300.0,101.85
2013-02-08,102.38,102.96,101.81,102.79,1726400.0,102.79
2013-02-11,102.87,102.94,101.76,101.99,1457400.0,101.99
2013-02-12,102.21,102.23,101.53,101.76,1203200.0,101.76
2013-02-13,101.98,102.37,100.95,101.63,1224400.0,101.63
2013-02-14,101.04,102.06,101.01,102.02,2211200.0,102.02
2013-02-15,101.79,103.13,101.03,102.17,4239800.0,102.17
2013-02-19,102.35,102.4,101.47,101.9,1894200.0,101.9
