date,open,high,low,close,volume,price
2013-01-02,110.27,110.42,108.74,110.39,6144100.0,110.39
2013-01-03,110.14,110.92,109.51,109.92,6817000.0,109.92
2013-01-04,109.99,110.62,109.9,110.5,4414500.0,110.5
2013-01-07,110.09,110.09,109.19,109.75,4861000.0,109.75
2013-01-08,109.48,109.69,109.1,109.26,6325400.0,109.26
2013-01-09,109.72,110.08,109.203,109.54,4558600.0,109.54
2013-01-10,110.19,110.76,110.09,110.47,5276400.0,110.47
2013-01-11,111.2,112.076,110.8,111.73,5456300.0,111.73
2013-01-14,111.38,112.95,111.35,112.85,6373900.0,112.85
2013-01-15,112.26,113.47,112.15,113.44,5637600.0,113.44
2013-01-16,113.31,114.33,113.165,113.97,6148500.0,113.97
2013-01-17,114.73,115.86,114.59,114.74,6966000.0,114.74
2013-01-18,115.23,115.24,114.062,115.24,8538000.0,115.24
2013-01-22,115.11,115.94,114.53,115.91,5398000.0,115.91
2013-01-23,115.35,115.9,114.93,115.01,5031800.0,115.01
2013-01-24,115.49,116.37,115.28,115.5,4895800.0,115.5
2013-01-25,115.52,116.38,115.15,116.2,4745400.0,116.2
2013-01-28,116.56,116.58,115.41,116.04,4520500.0,116.04
2013-01-29,116.28,117.4,116.25,117.21,4370100.0,117.21
2013-01-30,117.07,117.5,116.26,116.45,5168200.0,116.45
2013-01-31,116.22,116.9,115.15,115.15,7777900.0,115.15
2013-02-01,115.84,116.69,115.05,116.5,6415900.0,116.5
2013-02-04,115.02,115.89,114.29,115.2,6397600.0,115.2
2013-02-05,115.74,116.3799,115.51,115.81,5067800.0,115.81
2013-02-06,115.43,115.92,114.85,115.91,4459800.0,115.91
2013-02-07,115.99,116.0,114.33,115.02,5423900.0,115.02
2013-02-08,114.93,115.78,114.9,115.64,4457200.0,115.64
2013-02-11,115.68,115.84,115.01,115.64,3766300.0,115.64
2013-02-12,115.72,116.835,115.51,116.5,4530600.0,116.5
2013-02-13,115.43,115.84,114.914,115.53,4111000.0,115.53
2013-02-14,115.16,116.26,115.065,115.71,5226400.0,115.71
2013-02-15,115.5,115.7,114.03,114.96,6353200.0,114.96
2013-02-19,115.19,116.26,115.19,115.92,5023300.0,115.92
2013-02-20,115.93,116.1,114.84,114.99,5447000.0,114.99
2013-02-21,114.79,115.3,114.09,114.99,4795100.0,114.99
2013-02-22,115.51,116.23,114.82,115.96,5207200.0,115.96
2013-02-25,116.5,117.34,113.5,113.54,7522800.0,113.54
2013-02-26,114.47,115.17,113.75,114.96,6113100.0,114.96
2013-02-27,114.71,116.95,114.71,116.65,4540600.0,116.65
2013-02-28,116.57,117.89,116.35,117.15,5953600.0,117.15
2013-03-01,116.73,117.24,115.95,116.9,5570300.0,116.9
2013-03-04,116.78,117.81,116.08,117.49,5046700.0,117.49
2013-03-05,117.97,118.25,117.67,117.93,6356000.0,117.93
2013-03-06,118.3,118.78,118.03,118.47,5362200.0,118.47
2013-03-07,118.62,118.89,118.21,118.56,4378700.0,118.56
2013-03-08,118.95,119.11,117.99,118.57,4992000.0,118.57
2013-03-11,118.63,118.8,118.1,118.73,4528400.0,118.73
2013-03-12,118.88,119.3,118.16,118.25,4625000.0,118.25
2013-03-13,118.38,118.7,118.06,118.36,5393300.0,118.36
2013-03-14,118.73,120.26,118.6,120.0,7476700.0,120.0
2013-03-15,119.59,119.92,118.91,119.68,10215600.0,119.68
2013-03-18,118.78,119.9,118.7,119.13,4828700.0,119.13
2013-03-19,119.39,119.81,118.65,119.46,5244200.0,119.46
2013-03-20,119.98,120.88,119.86,120.35,5945300.0,120.35
2013-03-21,120.0,120.989,119.8125,120.34,6168500.0,120.34
2013-03-22,120.66,121.4,120.48,121.18,5190700.0,121.18
2013-03-25,121.5,121.56,119.56,120.18,6345300.0,120.18
2013-03-26,120.74,121.13,120.32,120.98,4256400.0,120.98
2013-03-27,120.5,120.715,119.7,120.19,4329600.0,120.19
2013-03-28,120.44,120.73,118.76,118.82,8280100.0,118.82
2013-04-01,118.99,119.86,118.76,119.61,4322200.0,119.61
2013-04-02,119.84,119.95,118.6601,119.0,4813900.0,119.0
2013-04-03,119.18,119.25,117.35,117.78,7175000.0,117.78
2013-04-04,117.93,118.6789,117.17,118.07,5409700.0,118.07
2013-04-05,116.64,117.645,116.17,117.52,5029900.0,117.52
2013-04-08,117.45,117.87,116.6535,117.81,4117400.0,117.81
2013-04-09,117.99,118.87,117.63,118.64,4849700.0,118.64
2013-04-10,118.89,119.83,118.51,119.64,5452000.0,119.64
2013-04-11,119.96,121.15,119.52,120.95,6092300.0,120.95
2013-04-12,120.46,120.9,119.5,119.94,6391700.0,119.94
2013-04-15,118.81,118.9,116.5,116.57,9766800.0,116.57
2013-04-16,117.34,117.5,116.21,117.01,6511400.0,117.01
2013-04-17,116.4,116.4,114.12,114.81,8291200.0,114.81
2013-04-18,114.88,116.12,114.6,115.59,6451600.0,115.59
2013-04-19,116.36,116.95,115.83,115.9,7573200.0,115.9
2013-04-22,116.39,117.1,115.89,116.57,5435700.0,116.57
2013-04-23,116.99,118.09,115.9,117.48,6745200.0,117.48
2013-04-24,118.04,118.68,117.98,118.28,4559000.0,118.28
2013-04-25,119.07,120.0,118.3,118.51,5602800.0,118.51
2013-04-26,119.0,120.41,118.68,120.04,6012200.0,120.04
2013-04-29,120.44,121.6,120.04,121.32,5158500.0,121.32
2013-04-30,121.05,122.01,120.12,122.01,6907400.0,122.01
2013-05-01,121.25,121.575,120.05,120.27,6082100.0,120.27
2013-05-02,121.0,122.33,120.6301,122.04,5066100.0,122.04
2013-05-03,122.69,123.91,122.46,123.49,6384300.0,123.49
2013-05-06,123.32,123.78,122.71,123.25,4668700.0,123.25
2013-05-07,123.35,123.72,122.54,123.04,4412600.0,123.04
2013-05-08,122.98,123.6,122.85,123.36,4479800.0,123.36
2013-05-09,123.46,123.95,122.96,123.64,9237500.0,123.64
2013-05-10,123.38,123.71,122.115,123.23,10581700.0,123.23
2013-05-13,122.9,123.1,122.17,122.85,16870100.0,122.85
