date,open,high,low,close,volume,price
2013-01-02,105.63,105.9,104.48,105.32,326100.0,105.32
2013-01-03,106.15,106.15,104.22,104.5,380100.0,104.5
2013-01-04,104.54,105.29,104.07,105.17,304700.0,105.17
2013-01-07,104.92,105.85,104.82,105.71,338900.0,105.71
2013-01-08,104.67,105.2,104.11,104.77,356900.0,104.77
2013-01-09,105.15,105.81,104.85,105.14,257900.0,105.14
2013-01-10,105.59,105.59,104.81,105.41,304300.0,105.41
2013-01-11,105.48,105.99,105.18,105.48,619500.0,105.48
2013-01-14,105.38,106.24,105.32,106.18,239000.0,106.18
2013-01-15,106.33,106.53,105.77,106.26,273700.0,106.26
2013-01-16,105.44,106.18,105.06,105.16,332600.0,105.16
2013-01-17,105.47,105.94,104.76,104.83,287500.0,104.83
2013-01-18,105.03,105.21,104.48,105.09,377700.0,105.09
2013-01-22,104.85,105.88,104.85,105.71,317200.0,105.71
2013-01-23,105.29,106.09,105.29,105.81,201600.0,105.81
2013-01-24,105.64,106.27,105.4,105.54,330200.0,105.54
2013-01-25,106.0,106.0,105.01,105.45,379800.0,105.45
2013-01-28,106.16,106.16,105.27,105.68,398600.0,105.68
2013-01-29,105.37,106.2,105.37,105.94,484900.0,105.94
2013-01-30,105.73,106.55,105.25,106.36,493000.0,106.36
2013-01-31,106.36,106.43,105.81,105.85,595400.0,105.85
2013-02-01,106.42,106.68,105.94,106.27,375900.0,106.27
2013-02-04,106.23,106.77,105.81,106.02,381900.0,106.02
2013-02-05,106.57,106.57,105.89,106.23,260200.0,106.23
2013-02-06,105.75,106.9,105.75,106.85,258500.0,106.85
2013-02-07,107.2,107.32,106.5,106.99,471300.0,106.99
2013-02-08,106.95,107.83,106.61,107.76,317100.0,107.76
2013-02-11,107.55,108.0,107.0,107.82,336500.0,107.82
2013-02-12,107.62,109.03,107.62,108.95,657100.0,108.95
2013-02-13,108.99,110.25,106.49,109.18,409600.0,109.18
2013-02-14,108.95,109.37,108.37,108.53,196400.0,108.53
2013-02-15,108.43,108.73,107.66,108.53,264700.0,108.53
2013-02-19,108.46,109.64,108.41,109.3,303800.0,109.3
2013-02-20,109.05,109.89,108.49,108.49,329900.0,108.49
2013-02-21,108.55,108.74,107.33,107.42,339500.0,107.42
2013-02-22,107.85,108.02,107.47,107.85,321800.0,107.85
2013-02-25,108.0,108.36,106.13,106.15,420300.0,106.15
2013-02-26,106.49,107.44,105.56,106.18,747700.0,106.18
2013-02-27,106.37,107.55,106.15,107.04,468700.0,107.04
2013-02-28,107.05,107.17,106.21,106.21,637900.0,106.21
2013-03-01,106.35,106.84,104.9,105.74,624800.0,105.74
2013-03-04,105.8,106.71,105.47,106.56,431400.0,106.56
2013-03-05,106.99,108.05,106.4,108.01,427500.0,108.01
2013-03-06,108.01,108.01,107.03,107.72,306600.0,107.72
2013-03-07,107.84,108.45,106.84,107.15,694600.0,107.15
2013-03-08,107.81,107.86,106.24,106.37,312300.0,106.37
2013-03-11,106.23,106.47,105.73,106.2,355600.0,106.2
2013-03-12,105.44,105.6,104.7,104.97,360400.0,104.97
2013-03-13,104.97,105.57,104.63,104.93,326900.0,104.93
2013-03-14,105.0,105.26,104.86,104.97,442600.0,104.97
2013-03-15,104.97,105.28,104.49,105.25,454600.0,105.25
2013-03-18,104.48,105.01,104.13,105.0,446000.0,105.0
2013-03-19,104.93,105.62,104.55,105.57,460600.0,105.57
2013-03-20,106.04,106.04,105.36,105.9,288500.0,105.9
2013-03-21,105.42,106.32,105.42,105.65,271100.0,105.65
2013-03-22,105.98,106.58,105.91,106.58,289400.0,106.58
2013-03-25,106.49,107.06,106.2,106.44,369700.0,106.44
2013-03-26,106.58,106.95,106.14,106.78,286700.0,106.78
2013-03-27,105.79,107.62,105.79,107.21,369700.0,107.21
2013-03-28,106.95,108.09,106.86,108.04,410700.0,108.04
2013-04-01,108.1,108.67,107.46,108.67,273700.0,108.67
2013-04-02,108.55,109.26,107.81,108.17,329900.0,108.17
2013-04-03,108.84,108.84,107.55,108.62,455600.0,108.62
2013-04-04,108.56,109.84,108.5,109.73,258800.0,109.73
2013-04-05,109.19,110.65,108.56,110.61,381000.0,110.61
2013-04-08,110.52,111.78,110.1,111.74,342000.0,111.74
2013-04-09,112.03,112.56,110.8,111.83,324400.0,111.83
2013-04-10,112.15,112.91,111.82,112.69,256700.0,112.69
2013-04-11,112.61,113.65,112.44,112.94,248600.0,112.94
2013-04-12,112.7,113.72,112.49,113.72,237800.0,113.72
2013-04-15,113.12,113.4,111.05,111.26,327000.0,111.26
2013-04-16,111.73,112.82,110.77,111.81,444700.0,111.81
2013-04-17,111.1,111.19,109.9,110.81,369600.0,110.81
2013-04-18,110.99,111.48,110.15,111.0,234400.0,111.0
2013-04-19,111.18,113.55,110.8,113.37,386400.0,113.37
2013-04-22,113.54,113.74,112.1,113.42,278600.0,113.42
2013-04-23,113.85,114.46,113.47,113.94,245700.0,113.94
2013-04-24,113.98,114.77,113.3,113.97,202100.0,113.97
2013-04-25,114.07,115.35,112.96,114.57,273700.0,114.57
