date,open,high,low,close,volume,price
2013-01-02,94.19,94.79,93.96,94.78,3206700.0,94.78
2013-01-03,94.34,94.93,94.13,94.67,2704600.0,94.67
2013-01-04,94.79,95.48,94.54,95.37,2704900.0,95.37
2013-01-07,95.02,95.73,94.76,95.49,2745800.0,95.49
2013-01-08,95.17,95.75,95.1,95.5,2655500.0,95.5
2013-01-09,95.87,96.74,95.71,96.41,2359700.0,96.41
2013-01-10,96.71,96.99,96.33,96.89,2600600.0,96.89
2013-01-11,95.84,96.66,95.21,96.28,2923900.0,96.28
2013-01-14,96.4,97.39,96.1,97.08,2592500.0,97.08
2013-01-15,96.83,97.4,96.57,97.29,2106400.0,97.29
2013-01-16,97.0,97.7,96.92,97.6,2092300.0,97.6
2013-01-17,97.79,98.5,97.51,98.08,2803900.0,98.08
2013-01-18,98.42,98.8,98.04,98.74,3187900.0,98.74
2013-01-22,98.39,99.33,98.1,99.33,3215200.0,99.33
2013-01-23,98.97,99.7,98.81,99.49,3579300.0,99.49
2013-01-24,99.38,99.82,98.8,99.67,3816300.0,99.67
2013-01-25,99.79,100.87,99.58,100.59,4237800.0,100.59
2013-01-28,100.98,100.98,100.27,100.65,2964900.0,100.65
2013-01-29,100.33,101.87,100.06,101.81,3530700.0,101.81
2013-01-30,101.8,101.95,100.69,100.8,2822800.0,100.8
2013-01-31,100.69,100.95,100.07,100.55,3763100.0,100.55
2013-02-01,101.44,101.99,101.16,101.56,3853600.0,101.56
2013-02-04,100.77,101.21,100.58,100.77,1987600.0,100.77
2013-02-05,101.31,101.92,101.25,101.49,2833100.0,101.49
2013-02-06,101.13,102.99,101.08,102.69,3510600.0,102.69
2013-02-07,102.65,102.74,101.46,102.22,2277600.0,102.22
2013-02-08,102.34,103.33,102.04,102.66,1937800.0,102.66
2013-02-11,102.39,102.88,102.04,102.62,1715500.0,102.62
2013-02-12,102.66,103.59,102.63,103.46,1928000.0,103.46
2013-02-13,103.03,103.39,102.58,102.86,1699900.0,102.86
2013-02-14,102.43,103.14,102.22,102.78,2217500.0,102.78
2013-02-15,103.06,103.38,102.62,103.23,2326200.0,103.23
2013-02-19,103.42,104.39,103.32,104.18,2988500.0,104.18
2013-02-20,104.18,104.4,103.15,103.15,2995400.0,103.15
2013-02-21,102.88,103.14,102.39,102.72,2758000.0,102.72
2013-02-22,102.99,103.7,102.82,103.54,2158100.0,103.54
2013-02-25,103.91,104.04,101.75,101.75,3021900.0,101.75
2013-02-26,102.11,102.66,101.91,102.31,2471900.0,102.31
2013-02-27,102.1,103.93,101.95,103.57,2353700.0,103.57
2013-02-28,103.6,104.56,103.14,104.0,2870100.0,104.0
2013-03-01,103.39,103.94,102.72,103.77,2660400.0,103.77
2013-03-04,103.51,103.51,102.59,103.28,2566300.0,103.28
2013-03-05,103.76,104.81,103.65,104.45,2632200.0,104.45
2013-03-06,104.73,105.42,104.47,104.66,3470300.0,104.66
2013-03-07,104.8,105.15,104.49,104.54,1875200.0,104.54
2013-03-08,105.0,105.81,104.82,105.71,2357200.0,105.71
2013-03-11,105.33,105.96,105.33,105.81,1720600.0,105.81
2013-03-12,105.82,105.98,104.96,105.13,2226800.0,105.13
2013-03-13,105.13,105.57,104.88,105.09,2059600.0,105.09
2013-03-14,105.33,106.02,105.26,106.02,2203400.0,106.02
2013-03-15,105.9,106.88,105.85,106.4,5148400.0,106.4
2013-03-18,105.23,105.96,105.22,105.41,1811400.0,105.41
2013-03-19,105.83,105.98,104.64,105.18,3211400.0,105.18
2013-03-20,105.91,106.17,105.38,105.66,1799500.0,105.66
2013-03-21,105.39,105.46,104.72,104.94,1937300.0,104.94
2013-03-22,105.1,106.49,105.1,106.42,2409800.0,106.42
2013-03-25,106.53,106.8,104.68,105.17,3739200.0,105.17
2013-03-26,105.41,106.22,105.41,106.07,1893500.0,106.07
2013-03-27,105.35,105.5,104.97,105.29,2129500.0,105.29
2013-03-28,105.67,106.34,105.28,106.31,2276700.0,106.31
2013-04-01,106.0,106.17,105.42,105.65,1684300.0,105.65
2013-04-02,105.8,106.8,105.79,106.52,2097500.0,106.52
2013-04-03,106.6,106.97,105.43,105.68,3278900.0,105.68
2013-04-04,105.82,106.22,105.3,105.82,1771200.0,105.82
2013-04-05,104.45,105.88,104.35,105.78,2477800.0,105.78
2013-04-08,105.86,106.42,105.1,105.75,1947700.0,105.75
2013-04-09,106.0,106.69,105.39,105.95,2370600.0,105.95
2013-04-10,106.09,107.93,106.03,107.69,3262400.0,107.69
2013-04-11,107.86,108.72,107.86,108.25,2137800.0,108.25
2013-04-12,107.89,108.27,107.31,107.68,2111400.0,107.68
2013-04-15,107.15,107.91,105.74,105.76,3677400.0,105.76
2013-04-16,106.69,106.85,105.7,106.15,2636800.0,106.15
2013-04-17,105.47,105.8,104.93,105.48,3155300.0,105.48
2013-04-18,105.84,105.97,104.28,104.98,3144700.0,104.98
2013-04-19,105.31,105.88,104.82,105.71,3323000.0,105.71
2013-04-22,105.71,106.1,105.14,105.8,2646800.0,105.8
2013-04-23,106.24,107.51,105.86,107.39,3209800.0,107.39
2013-04-24,107.61,108.15,107.24,107.87,3238200.0,107.87
2013-04-25,104.46,105.64,103.5,104.88,9027000.0,104.88
2013-04-26,104.97,105.18,103.46,103.79,3359400.0,103.79
2013-04-29,103.91,104.2,102.89,103.83,2903700.0,103.83
2013-04-30,103.98,104.74,102.97,104.71,3768800.0,104.71
2013-05-01,104.78,105.12,104.42,104.55,3258900.0,104.55
2013-05-02,105.04,106.38,104.91,106.04,3119500.0,106.04
2013-05-03,106.96,108.6,106.85,107.83,3013100.0,107.83
2013-05-06,107.63,107.99,107.45,107.84,2174400.0,107.84
2013-05-07,107.61,108.37,107.55,108.01,2235200.0,108.01
2013-05-08,108.03,108.29,107.77,108.2,2654400.0,108.2
2013-05-09,108.11,110.51,108.11,109.92,4487000.0,109.92
2013-05-10,110.08,110.64,109.75,110.48,2993300.0,110.48
2013-05-13,109.99,110.72,109.71,110.5,2044400.0,110.5
2013-05-14,110.32,110.79,110.27,110.59,2481000.0,110.59
2013-05-15,110.4,111.71,110.29,111.5,2912600.0,111.5
2013-05-16,111.21,111.7,110.95,111.07,2685900.0,111.07
2013-05-17,111.16,111.78,110.94,111.39,4060400.0,111.39
2013-05-20,111.13,112.06,110.96,111.72,2457300.0,111.72
2013-05-21,112.11,112.34,111.52,112.01,2473300.0,112.01
2013-05-22,111.59,112.29,110.57,110.79,3833200.0,110.79
2013-05-23,110.06,110.7,109.58,110.41,2568400.0,110.41
2013-05-24,109.86,110.49,109.49,110.27,2228400.0,110.27
2013-05-28,111.15,112.38,111.04,111.59,2722000.0,111.59
2013-05-29,111.04,111.36,110.48,111.13,2113600.0,111.13
2013-05-30,111.34,112.0,111.01,111.42,2599200.0,111.42
2013-05-31,110.79,112.21,110.27,110.27,3207700.0,110.27
2013-06-03,110.7,110.95,109.69,110.61,2647100.0,110.61
2013-06-04,110.65,111.2,109.53,110.02,2508500.0,110.02
2013-06-05,109.8,109.89,108.39,108.59,2690400.0,108.59
2013-06-06,108.46,108.78,107.64,108.67,2680800.0,108.67
2013-06-07,109.38,111.12,108.97,111.11,3374900.0,111.11
2013-06-10,111.41,111.45,110.54,110.81,2224100.0,110.81
2013-06-11,109.9,111.08,109.51,110.22,1752100.0,110.22
2013-06-12,110.99,111.06,108.95,109.03,2400700.0,109.03
2013-06-13,108.95,111.44,108.58,111.2,2604200.0,111.2
2013-06-14,111.3,112.07,110.75,111.03,2016800.0,111.03
2013-06-17,111.85,112.87,111.64,111.91,2617800.0,111.91
2013-06-18,112.07,113.23,111.9,112.97,1695300.0,112.97
2013-06-19,112.96,113.25,111.53,111.57,1971700.0,111.57
2013-06-20,110.71,110.76,108.52,108.78,2975600.0,108.78
2013-06-21,109.5,110.06,108.74,109.59,4674400.0,109.59
2013-06-24,108.78,108.78,107.15,107.5,3602500.0,107.5
2013-06-25,108.2,108.75,107.54,108.24,2676700.0,108.24
2013-06-26,109.07,109.98,108.73,109.68,2524400.0,109.68
2013-06-27,110.54,110.9,109.97,110.24,2229600.0,110.24
2013-06-28,109.86,110.47,109.14,109.35,3428500.0,109.35
2013-07-01,108.37,110.36,108.36,109.31,2668800.0,109.31
2013-07-02,109.05,109.75,108.33,108.73,3008800.0,108.73
2013-07-03,108.28,109.9,108.21,109.45,1358800.0,109.45
2013-07-05,110.37,111.56,109.87,111.54,2064500.0,111.54
2013-07-08,112.0,112.78,111.9,112.13,2571600.0,112.13
2013-07-09,113.09,113.52,112.79,113.35,2196200.0,113.35
2013-07-10,113.38,113.88,112.91,113.43,2307500.0,113.43
2013-07-11,114.36,114.75,114.17,114.53,2387500.0,114.53
2013-07-12,114.57,115.24,114.27,115.14,2291700.0,115.14
2013-07-15,115.14,115.49,114.75,114.85,2064400.0,114.85
2013-07-16,114.99,115.44,114.06,114.34,2458400.0,114.34
2013-07-17,114.97,115.27,114.31,114.64,2096600.0,114.64
2013-07-18,114.61,115.75,114.57,115.48,2945800.0,115.48
2013-07-19,115.34,116.47,115.34,116.19,3093900.0,116.19
2013-07-22,116.0,116.82,115.66,116.28,2823500.0,116.28
2013-07-23,116.44,117.3,116.01,116.75,2254400.0,116.75
2013-07-24,117.07,117.09,116.06,116.33,1808800.0,116.33
2013-07-25,115.3,116.9,114.84,116.55,3346700.0,116.55
2013-07-26,116.17,116.93,115.34,116.91,2332200.0,116.91
2013-07-29,116.41,116.81,116.06,116.61,1460400.0,116.61
2013-07-30,116.9,117.12,116.33,116.84,2285200.0,116.84
2013-07-31,117.13,118.6,117.01,117.43,2694000.0,117.43
2013-08-01,118.38,119.26,118.27,118.41,2997000.0,118.41
2013-08-02,117.98,118.35,117.47,118.26,1899300.0,118.26
2013-08-05,118.17,118.25,117.81,117.92,1351800.0,117.92
2013-08-06,117.82,117.95,117.14,117.5,1841100.0,117.5
2013-08-07,117.3,117.95,117.04,117.83,1934000.0,117.83
2013-08-08,118.27,119.0,117.64,118.68,2380600.0,118.68
2013-08-09,118.73,119.2,117.7,118.31,2460100.0,118.31
2013-08-12,118.0,118.76,117.72,118.38,1647400.0,118.38
2013-08-13,118.52,119.18,117.19,118.67,2023300.0,118.67
2013-08-14,118.9,118.91,117.57,117.62,2021400.0,117.62
2013-08-15,116.92,116.92,115.64,115.85,1994900.0,115.85
2013-08-16,115.68,116.21,115.64,115.9,2332800.0,115.9
2013-08-19,115.83,115.96,115.47,115.61,1829300.0,115.61
2013-08-20,115.52,115.89,115.19,115.42,2153600.0,115.42
2013-08-21,114.79,114.84,113.34,113.42,2293700.0,113.42
2013-08-22,113.61,114.89,113.34,114.67,2002000.0,114.67
2013-08-23,114.76,115.0,113.59,114.4,1953300.0,114.4
2013-08-26,114.38,115.17,114.04,114.33,1815700.0,114.33
2013-08-27,113.41,113.82,112.67,112.73,1907500.0,112.73
2013-08-28,112.51,113.42,112.36,113.0,1545800.0,113.0
2013-08-29,112.87,113.83,112.58,113.32,1457200.0,113.32
2013-08-30,113.61,113.74,112.85,113.58,2205600.0,113.58
2013-09-03,114.57,114.92,112.85,113.22,2168100.0,113.22
2013-09-04,113.08,114.86,113.08,114.55,2312200.0,114.55
2013-09-05,114.35,115.12,114.03,114.87,1947900.0,114.87
2013-09-06,115.09,115.82,113.89,115.04,1965600.0,115.04
2013-09-09,115.63,117.14,115.51,116.74,1976800.0,116.74
2013-09-10,117.31,117.87,117.07,117.59,2572800.0,117.59
2013-09-11,117.63,118.71,117.59,118.71,1889000.0,118.71
