date,open,high,low,close,volume,price
2013-01-02,637.83,641.93,627.67,638.4,681000.0,638.4
2013-01-03,652.59,659.0,645.87,648.73,925600.0,648.73
2013-01-04,648.25,649.87,642.0,648.41,404500.0,648.41
2013-01-07,648.0,659.99,644.37,657.38,557200.0,657.38
2013-01-08,657.72,662.98,654.3,657.42,455600.0,657.42
2013-01-09,655.92,658.23,650.18,651.59,306900.0,651.59
2013-01-10,655.24,657.83,645.55,653.62,385600.0,653.62
2013-01-11,653.48,657.38,650.35,655.49,368200.0,655.49
2013-01-14,657.77,667.87,657.25,662.92,523700.0,662.92
2013-01-15,658.38,665.79,653.54,663.35,397900.0,663.35
2013-01-16,661.1,671.0,658.25,667.84,396500.0,667.84
2013-01-17,670.73,675.3,661.34,669.89,547300.0,669.89
2013-01-18,669.97,677.08,668.55,672.72,598600.0,672.72
2013-01-22,671.5,678.88,668.51,671.27,552300.0,671.27
2013-01-23,674.91,675.99,668.11,672.26,365300.0,672.26
2013-01-24,671.84,681.72,670.87,679.55,630600.0,679.55
2013-01-25,682.0,719.37,681.05,718.82,1573100.0,718.82
2013-01-28,718.65,721.96,700.4,704.98,925600.0,704.98
2013-01-29,703.16,710.58,694.02,700.29,528800.0,700.29
2013-01-30,701.9,705.43,694.0,695.09,429000.0,695.09
2013-01-31,675.96,687.34,673.72,685.47,1053800.0,685.47
2013-02-01,693.12,698.03,684.68,685.56,915100.0,685.56
2013-02-04,681.86,686.01,678.73,679.29,507200.0,679.29
2013-02-05,683.89,697.78,683.02,691.57,548600.0,691.57
2013-02-06,693.77,704.17,690.0,694.1,652200.0,694.1
2013-02-07,694.1,697.46,679.65,690.69,444400.0,690.69
2013-02-08,693.55,702.04,691.47,700.83,468400.0,700.83
2013-02-11,699.68,700.0,692.16,696.11,301600.0,696.11
2013-02-12,696.8,705.77,695.37,703.38,487100.0,703.38
2013-02-13,703.0,708.0,698.9,704.17,334000.0,704.17
2013-02-14,699.95,707.99,697.66,705.62,345700.0,705.62
2013-02-15,704.2,706.23,698.5,702.26,669800.0,702.26
2013-02-19,703.16,707.57,700.52,703.47,476700.0,703.47
2013-02-20,705.21,707.57,687.64,688.2,573400.0,688.2
2013-02-21,688.5,690.56,675.11,683.33,1109600.0,683.33
2013-02-22,688.5,689.9,680.92,684.7,543100.0,684.7
2013-02-25,686.94,692.79,671.54,671.54,713300.0,671.54
2013-02-26,671.65,680.5,665.05,678.49,1314600.0,678.49
2013-02-27,709.05,712.5,692.0,695.91,2010300.0,695.91
