date,open,high,low,close,volume,price
2013-01-02,109.43,110.08,107.29,109.75,1623300.0,109.75
2013-01-03,109.3,112.95,108.31,111.32,1447200.0,111.32
2013-01-04,111.42,114.36,111.35,113.17,1259500.0,113.17
2013-01-07,112.04,113.36,110.7,112.13,796200.0,112.13
2013-01-08,112.04,112.9,110.88,112.41,1050200.0,112.41
2013-01-09,112.83,113.73,110.89,111.2,1148800.0,111.2
2013-01-10,112.21,113.25,111.09,112.56,1336600.0,112.56
2013-01-11,112.68,113.57,110.58,111.85,1115100.0,111.85
2013-01-14,111.74,112.34,110.36,111.74,780200.0,111.74
2013-01-15,111.01,111.37,110.06,110.86,1279500.0,110.86
2013-01-16,110.65,113.01,110.01,113.0,1242900.0,113.0
2013-01-17,114.25,115.0,112.77,114.14,1631200.0,114.14
2013-01-18,114.03,114.74,111.6,113.73,1630500.0,113.73
2013-01-22,114.13,114.58,112.04,114.41,1305700.0,114.41
2013-01-23,113.9,114.4,111.65,112.0,1358400.0,112.0
2013-01-24,112.71,114.56,111.32,113.87,1813600.0,113.87
2013-01-25,113.37,116.3,113.37,115.61,1395400.0,115.61
2013-01-28,115.94,116.99,114.33,114.99,1258200.0,114.99
2013-01-29,115.11,117.61,114.44,117.37,1341200.0,117.37
2013-01-30,120.0,123.86,116.0,116.21,4706800.0,116.21
2013-01-31,115.2,118.4,113.57,117.54,1893100.0,117.54
2013-02-01,118.28,120.0,117.74,119.92,1404500.0,119.92
2013-02-04,117.99,120.57,117.79,119.67,1308700.0,119.67
2013-02-05,120.96,121.82,119.46,121.62,1073400.0,121.62
2013-02-06,121.15,125.12,120.97,125.11,1992300.0,125.11
2013-02-07,125.12,125.37,123.06,124.54,1352000.0,124.54
2013-02-08,125.0,129.25,124.58,128.97,2054200.0,128.97
2013-02-11,128.97,129.26,125.75,128.55,2148200.0,128.55
2013-02-12,128.93,130.36,128.09,128.5,1618500.0,128.5
2013-02-13,130.8,130.8,125.92,126.76,3095300.0,126.76
2013-02-14,122.43,133.68,120.03,130.05,5504200.0,130.05
2013-02-15,128.99,131.75,128.6,130.56,9337900.0,130.56
2013-02-19,131.42,132.87,131.13,132.45,1757100.0,132.45
2013-02-20,132.2,132.2,127.65,127.84,2928800.0,127.84
2013-02-21,127.7,127.99,123.27,125.52,2216700.0,125.52
2013-02-22,126.83,128.25,124.64,127.0,2369300.0,127.0
2013-02-25,128.06,128.38,121.02,121.09,2362100.0,121.09
2013-02-26,122.17,124.69,119.83,124.28,2076900.0,124.28
2013-02-27,124.12,126.67,123.95,126.1,1376800.0,126.1
2013-02-28,125.96,126.85,124.53,125.81,1705500.0,125.81
2013-03-01,124.75,124.84,122.45,123.69,1564000.0,123.69
2013-03-04,123.3,123.99,120.95,123.0,1496600.0,123.0
2013-03-05,124.28,126.19,122.96,125.23,1311600.0,125.23
2013-03-06,126.07,126.07,124.45,125.11,999600.0,125.11
2013-03-07,124.88,128.0,123.25,127.65,3153400.0,127.65
2013-03-08,128.26,129.39,126.92,127.64,1811100.0,127.64
2013-03-11,127.28,128.1,126.18,127.67,744400.0,127.67
2013-03-12,128.09,128.13,126.17,127.11,972100.0,127.11
2013-03-13,126.89,127.12,125.58,126.29,1239200.0,126.29
2013-03-14,126.61,127.82,125.11,127.62,1741700.0,127.62
2013-03-15,126.82,129.97,126.25,129.31,2212600.0,129.31
2013-03-18,127.49,128.48,126.51,126.99,932900.0,126.99
2013-03-19,126.84,127.62,123.21,124.02,997100.0,124.02
2013-03-20,125.45,126.43,122.83,124.46,1055600.0,124.46
2013-03-21,123.56,124.93,121.39,121.83,1090200.0,121.83
2013-03-22,122.66,123.73,121.99,122.73,921000.0,122.73
2013-03-25,123.28,125.0,121.01,122.12,1495000.0,122.12
2013-03-26,123.3,126.15,122.42,126.07,1183800.0,126.07
2013-03-27,125.9,126.71,123.34,126.25,1713100.0,126.25
2013-03-28,125.79,126.7,124.07,124.25,1465600.0,124.25
2013-04-01,124.2,124.96,121.64,122.91,1482600.0,122.91
2013-04-02,122.38,123.82,122.38,123.48,1487700.0,123.48
2013-04-03,124.16,124.4,120.16,120.93,1315100.0,120.93
2013-04-04,120.41,120.81,116.66,117.82,1934100.0,117.82
2013-04-05,115.46,119.49,114.31,118.59,2091300.0,118.59
2013-04-08,118.88,121.4,118.75,121.38,986900.0,121.38
2013-04-09,121.29,123.79,120.11,123.2,1359100.0,123.2
2013-04-10,123.58,123.96,122.53,122.9,866800.0,122.9
2013-04-11,123.45,123.97,122.12,123.52,1128300.0,123.52
2013-04-12,122.08,122.5,117.44,118.61,1579500.0,118.61
2013-04-15,115.79,117.5,110.17,110.17,2482800.0,110.17
2013-04-16,112.59,115.4,109.89,113.61,2058300.0,113.61
2013-04-17,111.96,112.33,109.18,111.59,1810700.0,111.59
2013-04-18,111.6,113.56,109.73,112.35,1460500.0,112.35
2013-04-19,112.75,113.3,109.64,110.59,1189700.0,110.59
2013-04-22,111.05,113.32,109.9,112.71,1310400.0,112.71
2013-04-23,112.88,114.07,111.87,113.78,1155600.0,113.78
2013-04-24,114.11,116.16,114.11,115.72,1168400.0,115.72
2013-04-25,115.75,119.26,115.53,117.49,1629200.0,117.49
2013-04-26,117.44,118.37,115.79,118.12,1430000.0,118.12
2013-04-29,118.89,121.59,117.94,121.01,1090400.0,121.01
2013-04-30,120.71,122.85,120.16,122.23,1331400.0,122.23
2013-05-01,121.09,121.09,118.07,118.97,1544900.0,118.97
2013-05-02,119.36,127.86,119.13,126.31,2367400.0,126.31
2013-05-03,128.42,130.62,128.42,129.64,1872800.0,129.64
2013-05-06,131.48,134.88,130.53,133.54,2817100.0,133.54
2013-05-07,134.76,138.87,134.29,137.79,2581200.0,137.79
2013-05-08,136.43,138.74,135.7,138.07,2282300.0,138.07
2013-05-09,137.47,138.95,136.31,136.97,2180000.0,136.97
2013-05-10,136.28,137.31,133.07,137.13,2360800.0,137.13
2013-05-13,136.82,138.58,136.69,137.72,1122700.0,137.72
2013-05-14,137.64,140.57,137.4,139.95,1685800.0,139.95
2013-05-15,139.35,139.91,137.47,138.83,1081800.0,138.83
2013-05-16,138.75,139.82,137.48,138.58,838600.0,138.58
2013-05-17,139.7,142.59,139.15,142.25,1462700.0,142.25
2013-05-20,142.48,143.39,139.88,140.15,1538300.0,140.15
2013-05-21,139.96,141.64,138.89,138.97,1254100.0,138.97
2013-05-22,144.0,146.68,142.8,143.53,3152400.0,143.53
2013-05-23,140.9,144.65,138.63,144.02,1220400.0,144.02
2013-05-24,142.79,142.99,140.45,141.2,1232800.0,141.2
2013-05-28,143.91,145.83,143.25,145.24,1110300.0,145.24
2013-05-29,143.62,146.44,143.32,144.65,824200.0,144.65
2013-05-30,143.53,145.61,142.52,144.47,713100.0,144.47
2013-05-31,143.83,144.3,138.62,138.68,1738400.0,138.68
2013-06-03,139.8,142.19,138.55,140.83,1290000.0,140.83
2013-06-04,140.32,142.22,138.18,140.0,988300.0,140.0
