date,open,high,low,close,volume,price
2013-01-02,98.5,99.19,98.35,99.15,1263400.0,99.15
2013-01-03,99.04,99.04,97.77,97.89,1501000.0,97.89
2013-01-04,98.14,98.18,97.37,97.75,1430100.0,97.75
2013-01-07,97.29,97.92,97.1,97.26,1062200.0,97.26
2013-01-08,96.86,96.86,93.91,96.36,4226800.0,96.36
2013-01-09,96.63,97.91,96.57,97.56,2370700.0,97.56
2013-01-10,97.87,97.99,97.18,97.95,1579500.0,97.95
2013-01-11,98.09,98.18,97.43,97.88,978900.0,97.88
2013-01-14,97.87,98.63,97.87,98.32,1174400.0,98.32
2013-01-15,97.89,98.72,97.67,98.59,1083100.0,98.59
2013-01-16,98.12,99.12,98.12,98.85,935900.0,98.85
2013-01-17,98.98,99.86,98.98,99.52,1294800.0,99.52
2013-01-18,99.72,100.75,99.27,100.54,1826700.0,100.54
2013-01-22,99.87,102.0,99.82,100.41,2934000.0,100.41
2013-01-23,99.23,100.68,99.23,100.42,2113900.0,100.42
2013-01-24,100.8,100.97,99.93,100.38,1753100.0,100.38
2013-01-25,100.83,100.83,100.03,100.6,1115000.0,100.6
2013-01-28,100.6,101.36,100.32,100.83,1172000.0,100.83
2013-01-29,100.45,100.64,99.62,100.35,1337100.0,100.35
2013-01-30,100.37,101.23,100.08,100.7,2349900.0,100.7
2013-01-31,95.53,95.6,88.28,89.34,10444700.0,89.34
2013-02-01,89.03,90.43,86.8,90.27,8437700.0,90.27
2013-02-04,90.0,90.67,88.84,89.13,3764900.0,89.13
2013-02-05,89.17,89.78,88.0,88.21,4113200.0,88.21
2013-02-06,88.15,88.35,87.65,88.09,4183800.0,88.09
2013-02-07,88.24,88.35,87.25,87.79,4099800.0,87.79
2013-02-08,88.0,88.86,87.11,88.85,2888400.0,88.85
2013-02-11,88.71,88.75,87.52,87.94,2790700.0,87.94
2013-02-12,87.85,88.19,87.28,87.82,2589700.0,87.82
2013-02-13,87.74,87.75,86.6,86.76,3053300.0,86.76
2013-02-14,85.86,87.22,85.33,86.24,4341400.0,86.24
2013-02-15,86.08,87.47,85.86,86.94,3583100.0,86.94
2013-02-19,86.7,87.25,86.5,86.98,3433900.0,86.98
2013-02-20,86.91,87.86,86.41,86.44,2709200.0,86.44
2013-02-21,86.02,86.27,84.69,84.75,3200900.0,84.75
2013-02-22,85.86,86.74,84.57,86.39,3551200.0,86.39
2013-02-25,86.56,87.47,86.21,86.61,3749400.0,86.61
2013-02-26,85.93,86.71,85.67,86.46,2847700.0,86.46
2013-02-27,86.48,88.34,86.0,88.02,3378600.0,88.02
2013-02-28,87.68,87.81,86.39,86.39,4469500.0,86.39
2013-03-01,86.3,88.69,86.08,88.69,4361100.0,88.69
2013-03-04,88.47,89.06,87.07,88.89,1967500.0,88.89
2013-03-05,89.13,90.13,89.09,89.65,2142300.0,89.65
2013-03-06,90.0,90.21,88.96,89.29,2523900.0,89.29
2013-03-07,89.13,89.96,89.004,89.32,1961700.0,89.32
2013-03-08,89.71,90.23,89.68,89.77,2020600.0,89.77
2013-03-11,89.79,91.13,89.35,90.77,2662400.0,90.77
2013-03-12,90.98,91.74,90.6,91.58,2743500.0,91.58
2013-03-13,91.5,91.85,90.99,91.69,2099900.0,91.69
2013-03-14,91.84,91.99,91.46,91.83,1961800.0,91.83
2013-03-15,91.79,92.5,91.65,92.23,3325400.0,92.23
2013-03-18,91.08,93.61,90.42,93.43,3067100.0,93.43
2013-03-19,94.22,94.45,93.46,94.14,3369800.0,94.14
2013-03-20,94.5,96.05,94.44,95.62,2647200.0,95.62
2013-03-21,95.0,95.24,93.69,93.83,3412300.0,93.83
2013-03-22,94.16,96.33,94.09,95.79,3533700.0,95.79
2013-03-25,96.14,96.45,94.95,95.37,2228500.0,95.37
2013-03-26,95.73,96.09,94.92,96.04,3883200.0,96.04
2013-03-27,95.68,96.17,95.19,96.01,1504300.0,96.01
2013-03-28,96.14,96.3,95.49,96.06,2106600.0,96.06
2013-04-01,96.11,96.57,95.87,96.24,2137900.0,96.24
2013-04-02,96.25,97.27,96.23,96.95,1591000.0,96.95
2013-04-03,97.3,97.63,96.15,96.62,3394700.0,96.62
2013-04-04,96.47,97.72,96.47,97.47,3302400.0,97.47
2013-04-05,97.34,97.63,96.42,97.57,2964000.0,97.57
2013-04-08,97.28,97.79,95.43,95.97,3124200.0,95.97
2013-04-09,96.33,96.48,94.59,94.68,2318200.0,94.68
2013-04-10,94.7,95.41,94.17,94.23,2804400.0,94.23
2013-04-11,94.16,94.685,93.025,93.59,4230900.0,93.59
2013-04-12,93.42,94.0,93.385,93.67,3952500.0,93.67
2013-04-15,93.23,93.63,92.48,92.48,2444100.0,92.48
2013-04-16,92.76,93.36,92.61,93.07,3432400.0,93.07
2013-04-17,92.41,93.08,91.59,91.96,1810600.0,91.96
2013-04-18,92.29,92.31,90.38,90.64,2466900.0,90.64
2013-04-19,90.96,91.48,90.36,91.28,6203100.0,91.28
2013-04-22,91.6,92.53,91.28,92.31,1983000.0,92.31
2013-04-23,92.83,93.03,91.56,92.45,2238400.0,92.45
2013-04-24,92.74,93.5,91.79,92.73,2914200.0,92.73
2013-04-25,89.9,92.609,89.81,92.19,4418800.0,92.19
2013-04-26,92.39,93.86,92.1701,93.43,4133300.0,93.43
2013-04-29,93.68,94.44,93.54,94.23,2961000.0,94.23
