date,open,high,low,close,volume,price
2013-01-02,553.82,555.0,541.63,549.03,20018500.0,549.03
2013-01-03,547.88,549.67,541.0,542.0959,12605900.0,542.0959
2013-01-04,536.965,538.6299,525.8286,527.0,21226200.0,527.0
2013-01-07,522.0,529.3,515.2,523.9,17291300.0,523.9
2013-01-08,529.21,531.89,521.25,525.31,16382400.0,525.31
2013-01-09,522.5,525.0054,515.99,517.1,14557300.0,517.1
2013-01-10,528.55,528.72,515.52,523.51,21469500.0,523.51
2013-01-11,521.0,525.32,519.02,520.3,12518100.0,520.3
2013-01-14,502.68,507.5,498.51,501.75,26221700.0,501.75
2013-01-15,498.3,498.99,483.38,485.92,31313300.0,485.92
2013-01-16,494.64,509.44,492.5,506.09,24671600.0,506.09
2013-01-17,510.31,510.75,502.03,502.68,16202800.0,502.68
2013-01-18,498.516,502.22,496.4,500.0,16890100.0,500.0
2013-01-22,504.56,507.88,496.63,504.77,16483800.0,504.77
2013-01-23,508.81,514.99,504.77,514.005,30768200.0,514.005
2013-01-24,460.0,465.73,450.25,450.5,52173300.0,450.5
2013-01-25,451.69,456.23,435.0,439.88,43143800.0,439.88
2013-01-28,437.825,453.21,435.86,449.83,28054200.0,449.83
2013-01-29,458.5,460.2,452.12,458.27,20398500.0,458.27
2013-01-30,457.0,462.6,454.5,456.83,14898400.0,456.83
2013-01-31,456.98,459.28,454.98,455.49,11404800.0,455.49
2013-02-01,459.11,459.48,448.35,453.62,19267300.0,453.62
2013-02-04,453.91,455.94,442.0,442.316,17039900.0,442.316
2013-02-05,444.05,459.74,442.22,457.844,20476700.0,457.844
2013-02-06,456.47,466.5,452.58,457.35,21203800.0,457.35
2013-02-07,463.25,470.0,454.12,468.22,25163600.0,468.22
2013-02-08,474.0,478.81,468.25,474.98,22612800.0,474.98
2013-02-11,476.5,484.94,473.25,479.93,18481800.0,479.93
2013-02-12,479.51,482.38,467.744,467.9,21751900.0,467.9
2013-02-13,467.21,473.64,463.22,467.01,16971700.0,467.01
2013-02-14,464.5199,471.64,464.02,466.59,12688400.0,466.59
2013-02-15,468.85,470.16,459.92,460.16,13990900.0,460.16
2013-02-19,461.1,462.73,453.85,459.99,15563700.0,459.99
2013-02-20,457.69,457.69,448.8,448.85,17010800.0,448.85
2013-02-21,446.0,449.17,442.82,446.06,15970800.0,446.06
2013-02-22,449.25,451.6,446.6,450.81,11809100.0,450.81
2013-02-25,453.85,455.12,442.57,442.8,13306400.0,442.8
2013-02-26,443.82,451.54,437.66,448.97,17910700.0,448.97
2013-02-27,448.43,452.44,440.65,444.57,20976800.0,444.57
2013-02-28,444.05,447.87,441.4,441.4,11518400.0,441.4
2013-03-01,438.0,438.1799,429.98,430.47,19730300.0,430.47
2013-03-04,427.8,428.1999,419.0,420.05,20812700.0,420.05
2013-03-05,421.48,435.19,420.75,431.144,22801200.0,431.144
2013-03-06,434.51,435.25,424.43,425.662,16437500.0,425.662
2013-03-07,424.5,432.01,421.06,430.582,16731200.0,430.582
2013-03-08,429.8,435.43,428.61,431.72,13981500.0,431.72
2013-03-11,429.7499,439.01,425.14,437.87,16937000.0,437.87
2013-03-12,435.6,438.88,427.57,428.43,16639700.0,428.43
2013-03-13,428.45,434.5,425.36,428.35,14483900.0,428.35
2013-03-14,432.83,434.64,430.45,432.5,10852700.0,432.5
2013-03-15,437.93,444.23,437.25,443.66,22998600.0,443.66
2013-03-18,441.45,457.46,441.2,455.72,21649900.0,455.72
2013-03-19,459.5,460.97,448.5,454.49,18813400.0,454.49
2013-03-20,457.42,457.63,449.59,452.08,11023600.0,452.08
2013-03-21,450.22,457.98,450.1,452.73,13687700.0,452.73
2013-03-22,454.58,462.1,453.11,461.91,14110900.0,461.91
2013-03-25,464.69,469.95,461.78,463.58,17897700.0,463.58
2013-03-26,465.44,465.8399,460.53,461.136,10510500.0,461.136
2013-03-27,456.46,456.8,450.7301,452.08,11829900.0,452.08
2013-03-28,449.82,451.819,441.62,442.66,15815700.0,442.66
2013-04-01,441.9,443.698,427.74,428.91,13919000.0,428.91
2013-04-02,427.6,438.14,426.4,429.792,18911400.0,429.792
2013-04-03,431.37,437.28,430.31,431.99,12972000.0,431.99
2013-04-04,433.76,435.0,425.25,427.72,12801700.0,427.72
2013-04-05,424.5,424.95,419.68,423.2,13703400.0,423.2
