date,open,high,low,close,volume,price
2013-01-02,91.32,93.2,91.29,93.2,7529000.0,93.2
2013-01-03,93.11,94.34,92.82,93.62,7174600.0,93.62
2013-01-04,93.74,94.05,93.36,93.85,4142200.0,93.85
2013-01-07,93.8,93.88,93.14,93.45,3987500.0,93.45
2013-01-08,93.38,93.81,92.98,93.81,3657800.0,93.81
2013-01-09,94.08,94.08,93.02,93.32,3505000.0,93.32
2013-01-10,93.78,94.69,93.41,94.65,4682900.0,94.65
2013-01-11,94.72,94.75,94.22,94.39,4269400.0,94.39
2013-01-14,94.55,95.36,94.18,95.36,5144300.0,95.36
2013-01-15,95.11,95.48,94.76,95.36,3625600.0,95.36
2013-01-16,95.2,95.28,94.81,95.03,3810400.0,95.03
2013-01-17,95.44,95.5,94.84,95.3,3954800.0,95.3
2013-01-18,95.5,95.59,94.58,95.16,6390600.0,95.16
2013-01-22,95.16,95.92,94.88,95.91,4293600.0,95.91
2013-01-23,96.0,96.56,95.49,96.48,3679900.0,96.48
2013-01-24,96.59,97.73,96.53,97.31,4830500.0,97.31
2013-01-25,97.71,97.75,96.78,97.39,3808600.0,97.39
2013-01-28,97.42,97.54,96.75,97.12,3603300.0,97.12
2013-01-29,97.31,97.36,96.98,97.24,4329900.0,97.24
2013-01-30,97.32,97.33,96.44,96.88,3948500.0,96.88
2013-01-31,96.5,97.11,96.3,96.93,4425500.0,96.93
2013-02-01,97.56,99.0,97.2,98.0,4350900.0,98.0
2013-02-04,97.76,98.0,96.36,96.51,4226000.0,96.51
2013-02-05,97.17,98.04,97.0,97.91,3340700.0,97.91
2013-02-06,97.35,97.89,97.26,97.83,2904800.0,97.83
2013-02-07,97.8,97.97,97.01,97.11,3540100.0,97.11
2013-02-08,97.25,97.33,96.73,97.25,2996000.0,97.25
2013-02-11,97.46,97.5,97.04,97.13,1765300.0,97.13
2013-02-12,97.07,97.99,97.01,97.7,2385700.0,97.7
2013-02-13,97.72,98.2,97.59,97.97,2450100.0,97.97
2013-02-14,97.84,99.31,97.84,99.21,5013700.0,99.21
2013-02-15,99.64,99.79,99.23,99.77,5200600.0,99.77
2013-02-19,99.98,101.08,99.7,101.02,4290100.0,101.02
2013-02-20,101.14,101.49,100.02,100.22,5384400.0,100.22
2013-02-21,100.09,100.55,99.67,100.17,6168500.0,100.17
2013-02-22,100.5,101.27,100.22,101.21,3448400.0,101.21
2013-02-25,101.74,102.0,98.44,98.58,5836200.0,98.58
2013-02-26,99.05,101.0,98.25,98.72,4406400.0,98.72
2013-02-27,98.58,101.27,98.58,101.21,4319700.0,101.21
2013-02-28,101.44,102.33,101.31,102.16,8875500.0,102.16
2013-03-01,101.45,102.25,100.44,102.05,4812800.0,102.05
2013-03-04,101.66,101.98,100.5,101.95,4314100.0,101.95
2013-03-05,102.48,103.48,102.33,102.66,4449800.0,102.66
2013-03-06,103.29,103.56,102.76,103.24,3316300.0,103.24
2013-03-07,103.25,103.58,103.03,103.41,2619400.0,103.41
2013-03-08,103.98,104.0,103.1,103.63,3509600.0,103.63
2013-03-11,103.77,104.15,103.41,104.07,3268700.0,104.07
2013-03-12,104.09,104.19,102.12,103.01,3767500.0,103.01
2013-03-13,103.06,103.7,102.97,103.65,2876900.0,103.65
2013-03-14,103.81,104.25,103.59,103.99,3178400.0,103.99
2013-03-15,103.67,103.79,102.79,102.79,7253800.0,102.79
2013-03-18,102.11,102.85,101.91,102.12,3585500.0,102.12
2013-03-19,102.37,102.74,101.3,101.77,3343300.0,101.77
2013-03-20,102.18,102.57,101.87,102.34,3284100.0,102.34
2013-03-21,101.94,102.57,101.73,101.96,4422700.0,101.96
2013-03-22,101.99,102.7,101.95,102.57,2427800.0,102.57
2013-03-25,103.0,103.27,101.92,102.4,3238700.0,102.4
2013-03-26,102.89,103.84,102.46,103.82,3473900.0,103.82
2013-03-27,103.21,103.45,102.64,103.16,2358800.0,103.16
2013-03-28,103.32,104.48,102.97,104.2,4531100.0,104.2
2013-04-01,104.17,104.46,103.17,103.47,2416800.0,103.47
2013-04-02,103.96,105.5,103.8,105.14,4082200.0,105.14
2013-04-03,105.53,105.53,104.05,104.24,3894300.0,104.24
2013-04-04,104.66,105.56,104.36,105.13,3836400.0,105.13
