date,open,high,low,close,volume,price
2013-01-02,77.5,78.67,77.03,78.1,872600.0,78.1
2013-01-03,78.0,78.96,77.37,77.98,558500.0,77.98
2013-01-04,78.31,78.31,77.36,77.6,702800.0,77.6
2013-01-07,77.18,77.67,76.73,77.4,562200.0,77.4
2013-01-08,77.54,77.57,76.28,77.2,482300.0,77.2
2013-01-09,77.5,78.75,77.33,78.6,872100.0,78.6
2013-01-10,79.03,79.2,78.45,79.0,953400.0,79.0
2013-01-11,79.0,79.02,78.09,78.39,572100.0,78.39
2013-01-14,78.28,78.8,77.74,78.18,423900.0,78.18
2013-01-15,77.73,78.71,77.68,78.32,282600.0,78.32
2013-01-16,78.28,78.48,77.94,78.34,247800.0,78.34
2013-01-17,78.56,79.1,78.49,78.95,907600.0,78.95
2013-01-18,78.89,79.05,78.46,78.83,566200.0,78.83
2013-01-22,79.15,79.15,78.49,78.82,395900.0,78.82
2013-01-23,78.42,79.14,78.42,78.95,428300.0,78.95
2013-01-24,79.1,79.78,78.84,79.22,753200.0,79.22
2013-01-25,79.61,80.75,79.15,80.68,928500.0,80.68
2013-01-28,80.66,82.82,80.48,82.24,1038100.0,82.24
2013-01-29,82.07,82.24,81.09,81.5,561400.0,81.5
2013-01-30,81.46,82.2,81.05,81.63,587300.0,81.63
2013-01-31,81.44,81.94,77.97,77.97,2691200.0,77.97
2013-02-01,78.06,78.78,76.78,78.04,1907800.0,78.04
2013-02-04,77.58,78.39,76.59,76.67,626900.0,76.67
2013-02-05,77.26,83.55,77.26,81.53,2305500.0,81.53
2013-02-06,78.07,82.15,78.07,81.05,970100.0,81.05
2013-02-07,80.71,82.61,78.79,80.63,1183800.0,80.63
2013-02-08,80.5,81.67,80.02,80.89,410900.0,80.89
2013-02-11,80.56,80.56,79.18,79.31,365200.0,79.31
2013-02-12,79.55,80.01,79.24,80.0,444300.0,80.0
2013-02-13,80.87,80.91,79.68,80.03,769600.0,80.03
2013-02-14,79.95,80.13,79.12,79.48,439200.0,79.48
2013-02-15,79.47,79.67,79.22,79.54,680500.0,79.54
2013-02-19,79.82,79.98,79.07,79.39,411400.0,79.39
2013-02-20,79.49,79.74,77.93,77.99,567500.0,77.99
2013-02-21,78.0,78.05,76.19,77.03,1125400.0,77.03
2013-02-22,79.31,86.32,76.25,85.02,4161100.0,85.02
2013-02-25,83.89,85.56,82.92,83.3,1602700.0,83.3
2013-02-26,83.99,86.98,83.33,86.74,2008800.0,86.74
2013-02-27,87.4,89.14,85.85,87.13,1343000.0,87.13
2013-02-28,86.94,87.25,84.21,86.39,1619200.0,86.39
2013-03-01,85.77,86.92,85.77,86.49,1022800.0,86.49
2013-03-04,85.91,87.01,85.74,86.99,456600.0,86.99
2013-03-05,86.96,87.67,86.67,87.61,859700.0,87.61
2013-03-06,88.14,90.9,88.01,89.98,2069600.0,89.98
2013-03-07,90.6,90.6,89.49,89.8,791800.0,89.8
2013-03-08,90.0,90.34,86.76,89.06,2929900.0,89.06
2013-03-11,89.14,89.49,88.69,88.95,732300.0,88.95
2013-03-12,89.44,89.64,88.9,89.5,1509100.0,89.5
2013-03-13,90.83,90.95,89.41,89.88,1206800.0,89.88
2013-03-14,89.88,90.19,87.93,90.11,638800.0,90.11
2013-03-15,90.32,90.73,89.12,90.09,1342700.0,90.09
2013-03-18,88.93,99.93,88.7,98.04,5333800.0,98.04
2013-03-19,99.65,100.65,97.88,100.38,4223400.0,100.38
2013-03-20,101.0,106.29,100.75,105.77,2545700.0,105.77
2013-03-21,104.28,104.9,101.48,102.36,2077300.0,102.36
2013-03-22,102.6,103.29,102.0,103.28,2978900.0,103.28
2013-03-25,103.5,103.9,102.06,102.44,1376300.0,102.44
2013-03-26,102.9,103.2,102.32,102.99,903500.0,102.99
2013-03-27,102.62,105.55,102.62,104.29,807300.0,104.29
2013-03-28,104.43,105.07,103.84,104.18,586000.0,104.18
2013-04-01,104.65,105.29,102.96,103.78,391200.0,103.78
2013-04-02,104.47,105.53,103.78,103.8,527900.0,103.8
2013-04-03,103.91,104.14,101.07,102.28,1098800.0,102.28
2013-04-04,102.5,104.6,101.79,104.55,892700.0,104.55
2013-04-05,102.66,105.5,101.6,105.49,1063100.0,105.49
2013-04-08,105.45,106.98,103.65,104.75,727500.0,104.75
2013-04-09,104.83,105.09,103.11,103.58,574000.0,103.58
2013-04-10,104.46,104.84,102.97,103.67,767200.0,103.67
2013-04-11,103.77,104.84,103.29,104.84,489600.0,104.84
2013-04-12,104.19,105.47,104.19,105.06,526300.0,105.06
2013-04-15,104.26,104.26,102.89,103.08,425100.0,103.08
2013-04-16,104.24,105.2,102.95,104.91,492300.0,104.91
2013-04-17,104.64,105.39,103.22,104.03,491100.0,104.03
2013-04-18,104.43,104.43,101.49,102.73,962200.0,102.73
2013-04-19,103.22,103.43,102.44,103.04,663900.0,103.04
2013-04-22,104.1,104.55,102.49,103.85,681500.0,103.85
2013-04-23,104.3,105.57,103.38,104.41,619400.0,104.41
2013-04-24,104.85,105.15,101.02,103.05,756700.0,103.05
2013-04-25,102.79,103.3,100.92,101.11,696800.0,101.11
2013-04-26,100.99,102.64,100.03,101.64,445400.0,101.64
2013-04-29,102.17,102.17,100.71,101.62,294600.0,101.62
2013-04-30,101.38,101.38,99.41,100.74,804600.0,100.74
2013-05-01,100.48,101.72,100.48,101.17,614400.0,101.17
2013-05-02,101.83,103.21,101.28,103.13,686100.0,103.13
2013-05-03,103.89,105.29,103.71,104.61,713300.0,104.61
2013-05-06,104.64,105.77,104.15,105.03,875400.0,105.03
2013-05-07,104.93,111.44,104.93,109.69,1635800.0,109.69
2013-05-08,108.76,110.49,107.66,110.04,1628100.0,110.04
2013-05-09,109.16,110.55,109.16,110.13,802600.0,110.13
2013-05-10,110.33,112.1,110.06,110.06,1294900.0,110.06
2013-05-13,109.92,112.09,109.86,111.65,757500.0,111.65
2013-05-14,111.42,114.03,111.09,113.78,1052000.0,113.78
2013-05-15,113.82,114.67,113.54,114.53,1090900.0,114.53
2013-05-16,114.73,116.42,113.25,113.61,1197100.0,113.61
2013-05-17,114.64,114.72,112.04,112.14,912900.0,112.14
2013-05-20,112.54,113.31,111.22,111.41,702600.0,111.41
2013-05-21,111.78,114.82,111.37,114.0,699400.0,114.0
2013-05-22,113.52,115.13,112.39,112.94,907300.0,112.94
2013-05-23,111.47,113.64,111.47,113.54,412500.0,113.54
2013-05-24,113.04,113.04,111.74,112.85,625200.0,112.85
2013-05-28,114.53,115.45,113.6,114.1,621200.0,114.1
2013-05-29,113.36,114.43,112.6,112.65,693900.0,112.65
2013-05-30,112.96,113.14,111.33,111.81,583500.0,111.81
2013-05-31,111.21,113.39,111.21,112.0,851500.0,112.0
2013-06-03,112.74,112.74,109.63,111.62,752700.0,111.62
2013-06-04,111.43,115.41,111.43,114.95,1080400.0,114.95
2013-06-05,114.62,116.1,113.92,113.92,1209900.0,113.92
